cino,date,from_court_no,from_judge,to_court_no,to_judge
ASCH050008922019,2019-10-21,1,Sub Divisional Judicial Magistrate(M),2,Munsiff cum Judicial Magistrate First Class
ASCH020002652022,2022-04-25,NA,NA,3,Munsiff cum Judicial Magistrate First Class
ASCH020002652022,2022-09-29,3,Munsiff cum Judicial Magistrate First Class,2,Judicial Magistrate First Class
ASCH050008272019,2019-09-04,1,Sub Divisional Judicial Magistrate(M),2,Munsiff cum Judicial Magistrate First Class
ASJR030046492019,2021-03-06,11,JMFC3,10,JMFC2
ASJR030067832018,2019-09-18,9,JMFC1,11,JMFC3
ASJR030067832018,2021-04-05,11,JMFC3,9,JMFC1
ASJR030067832018,2022-11-16,9,JMFC1,11,JMFC3
ASJR010001822021,2021-02-12,1,District &amp; Sessions Judge,2,Addl. District and Sessions Judge
ASJR010001822021,2022-05-05,2,Addl. District and Sessions Judge,1,District & Sessions Judge
ASJR010001822021,2022-05-06,1,District &amp; Sessions Judge,2,Addl. District and Sessions Judge
ASJR030012622016,2018-05-14,10,JMFC2,7,Munsiff No. 1 cum JMFC
ASJR010007102022,2022-06-08,1,District &amp; Sessions Judge,2,Addl. District and Sessions Judge
ASJR030032292019,2021-03-17,11,JMFC3,10,JMFC2
ASKJ010016302022,2022-11-15,1,District and Sessions Judge,2,"Addl. District and Sessions Judge, FTC"
ASDB020037462020,2021-04-06,14,"Judicial Magistrate 1st Class, Dibrugarh",15,"Judicial Magistrate 1st Class, Dibrugarh"
ASDB020020032020,2023-01-17,12,Munsiff No. 1 Cum JMFC,15,"Judicial Magistrate 1st Class, Dibrugarh"
MHCC020081802019,2019-06-06,40,COURT 40  ADDL SESSIONS JUDGE,38,COURT 38 ADDL. SESSIONS JUDGE
ASDB020007382020,2020-06-20,10,"Judicial Magistrate 1st Class, Dibrugarh",16,Munsiff No. 3 cum J.M.F.C.
ASDB020057892018,2020-06-17,10,"Judicial Magistrate 1st Class, Dibrugarh",16,Munsiff No. 3 cum J.M.F.C.
ASDB020001742020,2020-07-04,10,"Judicial Magistrate 1st Class, Dibrugarh",16,Munsiff No. 3 cum J.M.F.C.
ASDB020004422016,2020-06-19,10,"Judicial Magistrate 1st Class, Dibrugarh",16,Munsiff No. 3 cum J.M.F.C.
ASDB020004422016,2022-02-25,16,Munsiff No. 3 cum J.M.F.C.,12,"Judicial Magistrate 1st Class, Dibrugarh"
ASDB020011952015,2023-03-03,12,Munsiff No. 1 Cum JMFC,15,"Judicial Magistrate 1st Class, Dibrugarh"
ASDB020021952021,2021-09-10,10,Chief Judicial Magistrate,NA,District and Session Judge
ASDB020089452018,2020-09-03,10,"Judicial Magistrate 1st Class, Dibrugarh",16,Munsiff No. 3 cum J.M.F.C.
ASMR040051302022,2023-01-04,5,Sub Divisional Judicial Magistrate ( S),8,JMFC
ASMR040044682022,2022-12-12,5,Sub Divisional Judicial Magistrate ( S),8,JMFC
