cino,date,from_court_no,from_judge,to_court_no,to_judge
BRWC020080232018,2019-09-09,NA,NA,39,Subjudge 1st-cum- A.C.J.M. 1st
BRWC020082452017,2022-07-08,8,CHIEF JUDICIAL MAGISTRATE(C.J.M),35,J.M 1St Class-Cum-A.M-XI
BRWC020007832017,2017-02-15,NA,NA,16,SUBJUDGE VIII-CUM-A.C.J.M-VII
BRWC020007832017,2019-07-22,NA,NA,25,JM 1ST Class-Cum-Munsif
BRWC020008522019,2022-03-30,8,CHIEF JUDICIAL MAGISTRATE(C.J.M),41,JM 1st Class
BRWC020008522019,2022-07-28,41,J.M 1St Class-Cum-A.M-VI,38,J.M 1St Class-Cum-A.M-XIII
BRWC020050612012,2022-08-22,25,J.M 1St Class-Cum-A.M-I,28,J.M 1St Class-Cum-A.M-VII
BRWC020003542015,2015-02-19,8,CHIEF JUDICIAL MAGISTRATE(C.J.M),22,SRI  J.M.-CUM-ADDL. MUNSIF
BRWC020003542015,2017-02-02,NA,NA,34,SRI B. K. RAI SUBJUDGE IV -CUM- A.C.J.M.
BRWC020003542015,2018-01-30,NA,NA,36,SRI ANURAG KR. TRIPATHI SUB JUDGE-CUM-A.C.J.M.
BRWC020003542015,2018-12-24,NA,NA,8,CHIEF JUDICIAL MAGISTRATE(C.J.M)
BRWC020003542015,2020-01-29,NA,NA,33,JM 1st Class
BRWC020037872019,2022-07-13,8,CHIEF JUDICIAL MAGISTRATE(C.J.M),35,J.M 1St Class-Cum-A.M-XI
BRWC020015172022,2022-04-29,0,C J M Bettiah Division,NA,D J Bettiah Division
BRWC020066632018,2018-10-02,25,J.M. 1ST CLASS,20,J.M. 1ST CLASS
BRWC020066632018,2018-10-23,NA,NA,25,J.M. 1ST CLASS
BRWC020066632018,2021-11-01,20,JM 1st Class,30,JM 2nd Class
BRWC010086762022,2022-06-24,1,DISTRICT AND SESSIONS JUDGE,27,Additional District and Sessions Judge X
BRWC010086762022,2022-07-05,27,Additional District and Sessions Judge X,35,th Addl. District and Session Judge
BRWC011348592022,2022-10-12,1,DISTRICT AND SESSIONS JUDGE,25,th Addl. District and Session Judge
BRWC020011762018,2022-07-08,8,CHIEF JUDICIAL MAGISTRATE(C.J.M),35,J.M 1St Class-Cum-A.M-XI
BRWC010099092022,2022-07-18,1,DISTRICT AND SESSIONS JUDGE,25,th Addl. District and Session Judge
BRWC010020102015,2015-05-30,1,DISTRICT AND SESSIONS JUDGE,3,st Addl. District and Session Judge
BRWC010053792015,2015-07-28,1,DISTRICT AND SESSIONS JUDGE,3,st Addl. District and Session Judge
BRWC020066032018,2018-09-29,25,J.M. 1ST CLASS,20,J.M. 1ST CLASS
BRWC020066032018,2018-10-23,NA,NA,25,J.M. 1ST CLASS
BRWC020066032018,2022-07-08,20,J.M 1St Class-Cum-A.M-II,35,J.M 1St Class-Cum-A.M-XI
BRWC020007852017,2017-02-15,NA,NA,16,SUBJUDGE VIII-CUM-A.C.J.M-VII
BRWC020007852017,2019-08-16,NA,NA,NA,NA
BRWC020007852017,2020-03-04,18,ACJM-II,32,JM 1st Class
BRWC020038212018,2021-03-05,8,CHIEF JUDICIAL MAGISTRATE(C.J.M),25,JM 1ST Class-Cum-Munsif
BRWC020038212018,2022-10-10,25,J.M 1St Class-Cum-A.M-I,28,J.M 1St Class-Cum-A.M-VII
BRWC100077012017,2017-12-11,9,S.D.J.M,20,MD FIROZ AKRAM JM
BRWC020035582017,2018-10-15,8,CHIEF JUDICIAL MAGISTRATE(C.J.M),25,J.M. 1ST CLASS
BRWC020035582017,2020-06-29,25,JM 1ST Class-Cum-Munsif,33,JM 1st Class
BRWC020012642021,2022-03-30,8,CHIEF JUDICIAL MAGISTRATE(C.J.M),41,JM 1st Class
BRWC020012642021,2022-08-03,41,J.M 1St Class-Cum-A.M-VI,42,J.M 1St Class-Cum-A.M-XIV
BRSM110007742015,2016-09-16,21,ACJM,27,ACJM III
BRSM020031702019,2021-01-22,18,SDJM,44,ACJM IV
BRSM020031702019,2022-11-04,44,ACJM IV,41,JM 1st Class
BRSM020036422018,2018-10-10,10,CJM/ASJ1st/SUB JUDGE 2nd,43,ACJM III
BRSM020036422018,2018-10-20,43,ACJM III,10,CJM/ASJ1st/SUB JUDGE 2nd
BRSM020018102017,2018-10-10,10,CJM/ASJ1st/SUB JUDGE 2nd,43,ACJM III
BRSM020018102017,2018-10-21,43,ACJM III,10,CJM/ASJ1st/SUB JUDGE 2nd
BRSM020018102017,2019-12-04,10,CJM/ASJ1st/SUB JUDGE 2nd,48,JM cum Munsif
BRSM020018102017,2020-01-03,NA,NA,10,CJM/ASJ1st/SUB JUDGE 2nd
BRSM020010122017,2018-10-10,10,CJM/ASJ1st/SUB JUDGE 2nd,43,ACJM III
BRSM020010122017,2018-10-20,43,ACJM III,10,CJM/ASJ1st/SUB JUDGE 2nd
BRSM020010122017,2019-12-04,10,CJM/ASJ1st/SUB JUDGE 2nd,48,JM cum Munsif
BRSM020010122017,2020-01-03,NA,NA,10,CJM/ASJ1st/SUB JUDGE 2nd
BRSM010043562022,2022-07-02,1,District &amp; Sessions Judge,4,ADJ 2nd
BRSM020036452018,2018-10-10,10,CJM/ASJ1st/SUB JUDGE 2nd,43,ACJM III
BRSM020036452018,2018-10-20,43,ACJM III,10,CJM/ASJ1st/SUB JUDGE 2nd
BRSM020033352019,2020-09-23,10,CJM/ASJ1st/SUB JUDGE 2nd,41,JM 1st Class
BRSM020031682016,2018-10-10,10,CJM/ASJ1st/SUB JUDGE 2nd,43,ACJM III
BRSM020031682016,2018-10-20,43,ACJM III,10,CJM/ASJ1st/SUB JUDGE 2nd
BRSM210016432019,2020-06-24,7,JM I,15,ACJM II
BRSM210016432019,2022-05-23,7,JM I,4,SDJM
BRSM020005271998,2019-11-29,45,ACJM VI,34,J.M. 2nd Class
BRSM020005271998,2022-06-09,34,JM 1st Class,52,JM 1st Class
BRSM020030692018,2018-10-10,10,CJM/ASJ1st/SUB JUDGE 2nd,43,ACJM III
BRSM020030692018,2018-10-19,43,ACJM III,10,CJM/ASJ1st/SUB JUDGE 2nd
BRSM020030692018,2020-02-17,10,CJM/ASJ1st/SUB JUDGE 2nd,41,JM 1st Class
BRSM020046672017,2018-10-10,10,CJM/ASJ1st/SUB JUDGE 2nd,43,ACJM III
BRSM020046672017,2018-10-21,43,ACJM III,10,CJM/ASJ1st/SUB JUDGE 2nd
BRSM020046672017,2019-12-04,10,CJM/ASJ1st/SUB JUDGE 2nd,48,JM cum Munsif
BRSM020046672017,2020-01-03,NA,NA,10,CJM/ASJ1st/SUB JUDGE 2nd
BRSM010043262022,2022-07-02,1,District &amp; Sessions Judge,4,ADJ 2nd
BRSM020046632017,2018-10-10,10,CJM/ASJ1st/SUB JUDGE 2nd,43,ACJM III
BRSM020046632017,2018-10-20,43,ACJM III,10,CJM/ASJ1st/SUB JUDGE 2nd
BRSM020046632017,2019-12-04,10,CJM/ASJ1st/SUB JUDGE 2nd,48,JM cum Munsif
BRSM020046632017,2020-01-03,NA,NA,10,CJM/ASJ1st/SUB JUDGE 2nd
BRSM020046632017,2020-01-30,10,CJM/ASJ1st/SUB JUDGE 2nd,41,JM 1st Class
BRSM020046632017,2022-06-09,41,JM 1st Class,54,JM 1st Class
BRSM010044322022,2022-07-04,1,District &amp; Sessions Judge,4,ADJ 2nd
BRSM020046652017,2018-10-10,10,CJM/ASJ1st/SUB JUDGE 2nd,43,ACJM III
BRSM020046652017,2018-10-19,43,ACJM III,10,CJM/ASJ1st/SUB JUDGE 2nd
BRSM020046682017,2018-10-10,10,CJM/ASJ1st/SUB JUDGE 2nd,43,ACJM III
BRSM020046682017,2018-10-20,43,ACJM III,10,CJM/ASJ1st/SUB JUDGE 2nd
BRSM020046682017,2019-12-04,10,CJM/ASJ1st/SUB JUDGE 2nd,48,JM cum Munsif
BRSM020046682017,2020-01-03,NA,NA,10,CJM/ASJ1st/SUB JUDGE 2nd
BRSM010004842023,2023-01-16,1,District &amp; Sessions Judge,47,ADJ 10th
BRSM010047832022,2022-07-18,1,District &amp; Sessions Judge,32,ADJ 3rd
BRSM010047832022,2022-08-01,32,ADJ 3rd,5,ADJ 9th
BRSM020023512018,2020-02-04,35,ACJM I,29,JM 1st Class
BRSM020023512018,2022-05-28,29,JM 1st Class,52,JM 1st Class
BRSM010080622022,2022-11-16,1,District &amp; Sessions Judge,7,ADJ 7th
BRSM010064822021,2021-10-08,1,District &amp; Sessions Judge,31,ADJ 5th cum-Exclusive Spl. Excise Court-2
BRSM010044822022,2022-07-04,1,District &amp; Sessions Judge,32,ADJ 3rd
BRSM010044822022,2022-07-28,32,ADJ 3rd,5,ADJ 9th
BRSM020047152018,2020-05-22,44,ACJM IV,47,ACJM II
BRSM020047152018,2021-12-24,47,ACJM II,34,JM 1st Class
BRSM020031542019,2022-11-05,10,CJM/ASJ1st/SUB JUDGE 2nd,50,JM 1st Class
BRSM110007752015,2016-09-16,21,ACJM,27,ACJM III
BRSM020051202017,2020-10-12,46,ACJM V,34,JM 1st Class
BRSM020051202017,2021-01-09,34,JM 1st Class,47,ACJM II
BRSM010094632017,2017-12-06,1,District &amp; Sessions Judge,4,ADJ 3rd
BRSM110013892013,2022-06-02,26,ACJM II,30,JM I
BRSM020036412018,2018-10-10,10,CJM/ASJ1st/SUB JUDGE 2nd,43,ACJM III
BRSM020036412018,2018-10-20,43,ACJM III,10,CJM/ASJ1st/SUB JUDGE 2nd
BRSM020046662017,2018-10-10,10,CJM/ASJ1st/SUB JUDGE 2nd,43,ACJM III
BRSM020046662017,2018-10-20,43,ACJM III,10,CJM/ASJ1st/SUB JUDGE 2nd
BRBJ020061032018,2019-09-27,1,Chief Judicial Magistrate,23,J.M 2nd class
BRBJ020066972018,2020-06-08,12,A.C.J.M-XIV,25,J.M  1st Class / Court No-5
BRBJ020011412019,2019-10-04,1,Chief Judicial Magistrate,19,J.M 1st  Class / Court No 1
BRBJ020026152015,2020-08-25,12,A.C.J.M-XIV,25,J.M  1st Class / Court No-5
BRBJ020026152015,2021-11-20,25,J.M  1st Class / Court No-5,29,J.M 2nd class
BRBJ020026152015,2022-05-19,29,J.M 2nd class,25,J.M  1st Class / Court No-5
BRBJ020015022015,2019-03-07,8,A.C.J.M -IX,19,J.M 1st  Class / Court No 1
BRBJ020069892019,2020-11-26,1,Chief Judicial Magistrate,17,J.M 1st class  / Court No-7
BRBJ020007902015,2020-06-18,9,A.C.J.M -X,23,J.M 1st  Class / Court No-4
BRBJ020032692016,2020-06-01,12,A.C.J.M-XIV,25,J.M  1st Class / Court No-5
BRBJ020013662020,2020-05-06,1,Chief Judicial Magistrate,11,A.C.J.M -XII
BRBJ020013662020,2021-03-18,11,A.C.J.M -XII,2,A.C.J.M -I
BRBJ020013662020,2022-01-20,2,A.C.J.M -I,4,A.C.J.M -V
BRBJ020061122018,2019-03-06,2,A.C.J.M -I,1,Chief Judicial Magistrate
BRBJ020061122018,2020-02-05,1,Chief Judicial Magistrate,4,A.C.J.M -V
BRNL020009262016,2019-12-02,3,Addl. Chief Judicial Magistrate-IV,10,Judicial Magistrate 1st  Class-IV
BRNL110036622016,2022-07-14,15,J.M 1st Class- II,27,J.M 1st Class-I
BRNL020056762019,2021-03-26,1,Chief Judicial Magistrate,5,Addl. Chief Judicial Magistrate -V
BRNL020056762019,2022-07-18,5,Addl. Chief Judicial Magistrate -V,1,Chief Judicial Magistrate
BRNL010003472018,2018-10-09,1,District and Sessions Judge,3,Addl. District and Sessions Judge-I
BRNL020065932019,2021-04-03,1,Chief Judicial Magistrate,3,Addl. Chief Judicial Magistrate-IV
BRNL020065932019,2022-06-30,3,Addl. Chief Judicial Magistrate-IV,19,J.M 1st Class-VI-Cum Addl. Munsif-VI
BRNL100020952018,2019-09-13,2,Addl. District and Sessions Judge-I,13,Addl. District and Sessions Judge-III
BRNL100020952018,2021-02-04,13,Addl. District and Sessions Judge-III,23,Addl. District and Sessions Judge-IV
BRNL010008272019,2019-01-29,1,District and Sessions Judge,3,Addl. District and Sessions Judge-I
BRNL020012392015,2019-12-22,8,Judicial Magistrate 1st  Class-III,14,Addl. Chief Judicial Magistrate-VII
UPME041296432022,2022-11-30,46,A.C.J.M. Court No.5,44,A.C.J.M. Court No.3
UPME040213632021,2021-07-16,48,A.C.J.M. Court No.7,40,Chief Judicial Magistrate
UPME040213632021,2022-10-12,40,Chief Judicial Magistrate,NA,District and Sessions Judge
UPME040117592021,2021-10-19,40,Chief Judicial Magistrate,NA,Civil Judge Junior Division
UPME040008192017,2017-03-24,43,A.C.J.M. Court No.2,48,A.C.J.M. Court No.7
UPME040008192017,2018-06-05,48,A.C.J.M. Court No.7,51,A.C.J.M. Court No.10
UPME040008192017,2019-09-18,51,Chief Judicial Magistrate,NA,Civil Judge Senior Division
UPME040167702021,2021-08-05,48,Chief Judicial Magistrate,NA,Civil Judge Senior Division
BRSH020036062019,2022-06-15,30,J.M. Ist Class,37,J.M. Ist Class
BRNL110026452018,2018-10-22,5,A.C.J.M-I Comp Department,11,J.M 1st Class- IV
BRNL020047032018,2019-04-02,1,Chief Judicial Magistrate,7,Judicial Magistrate 1st  Class-I
BRNL020047032018,2020-01-20,7,Judicial Magistrate 1st  Class-I,11,Addl. Chief Judicial Magistrate -III
BRNL020047032018,2020-12-08,11,Addl. Chief Judicial Magistrate -III,8,Judicial Magistrate 1st  Class-III
BRNL110022642018,2019-07-06,14,A.C.J.M-I,15,Munsif Cum J.M 1st Class-II
BRNL110022642018,2022-06-14,15,J.M 1st Class- II,27,J.M 1st Class-I
BRNL110002252017,2018-06-23,16,A.C.J.M II,7,S.D.J.M
BRNL020022512019,2019-07-05,1,Chief Judicial Magistrate,4,Addl. Chief Judicial Magistrate -VI
BRNL020022512019,2019-11-23,4,Addl. Chief Judicial Magistrate -VI,13,Addl. Chief Judicial Magistrate-II
BRNL020022512019,2019-11-23,13,Addl. Chief Judicial Magistrate-II,4,Addl. Chief Judicial Magistrate -VI
BRNL020027942015,2022-05-28,9,Judicial Magistrate 1st  Class-II,20,J.M 1st Class-VII-Cum Addl. Munsif-VII
BRNL110070862017,2019-08-14,15,Munsif Cum J.M 1st Class-II,23,J.M 1st Class- V
BRDA020030972018,2022-10-11,14,J.M.Ist class,42,J.M.Ist class
BRNL110071532017,2022-03-31,22,J.M-III (1ST CLASS),25,J.M. 2nd CLASS
BRNL110071532017,2022-05-25,25,J.M. 2nd CLASS,23,J.M 1st Class- V
BRNL020078632020,2022-10-01,1,Chief Judicial Magistrate,22,J.M 1st Class-IX Cum Addl. Munsif-IX
BRNL020014812019,2019-07-05,1,Chief Judicial Magistrate,10,Judicial Magistrate 1st  Class-IV
BRNL020014812019,2022-06-01,10,J.M 1st Class-IV-Cum Addl. Munsif-IV,19,J.M 1st Class-VI-Cum Addl. Munsif-VI
BRNL020079382019,2019-11-23,1,Chief Judicial Magistrate,6,S.D.J.M.
BRNL020079382019,2020-08-17,6,S.D.J.M.,11,Addl. Chief Judicial Magistrate -III
BRNL020079382019,2020-08-25,11,Addl. Chief Judicial Magistrate -III,3,Addl. Chief Judicial Magistrate-IV
BRNL020079382019,2022-06-15,3,Addl. Chief Judicial Magistrate-IV,19,J.M 1st Class-VI-Cum Addl. Munsif-VI
BRNL020019252021,2021-03-19,1,Chief Judicial Magistrate,2,Addl. Chief Judicial Magistrate -I
BRNL020000962017,2020-09-16,1,Chief Judicial Magistrate,14,Addl. Chief Judicial Magistrate-VII
BRNL020000962017,2021-06-16,14,Addl. Chief Judicial Magistrate-VII,1,Chief Judicial Magistrate
BRNL110049502017,2017-12-22,11,J.M 1st Class- IV,14,A.C.J.M-I
BRNL110018292016,2019-01-10,5,A.C.J.M-I Comp Department,14,A.C.J.M-I
MHCC020124642018,2020-01-27,34,COURT 34 ADDL SESSIONS JUDGE,54,COURT 54 ADDL SESSIONS JUDGE
MHCC020124642018,2022-02-03,54,COURT 54 ADDL SESSIONS JUDGE,41,COURT 41 ADDL SESSIONS JUDGE
UPBH040125392020,2020-09-01,26,Civil Judge Jr. Div. FTC/ JM FTC,11,Addl. Chief Judicial Magistrate (ACJM)
UPBH010023642019,2021-01-30,1,District and Sessions Judge Bahraich,27,th Additional District and Sessions Judge Bahraich
UPBH010023642019,2021-04-16,27,th Additional District and Sessions Judge Bahraich,30,ADJ Fast Track Court No. 2
UPBH010023642019,2021-10-07,30,ADJ Fast Track Court No. 2,2,st Additional District and Sessions Judge Bahraich
UPBH040024402019,2021-11-06,9,Chief Judicial Magistrate (CJM),11,Addl. Chief Judicial Magistrate (ACJM)
UPKJ010033122017,2017-10-27,1,District &amp; Session Judge,20,Adj F.T.C.II
UPKJ010032072017,2017-10-23,1,District &amp; Session Judge,20,Adj F.T.C.II
UPKJ010029852016,2019-02-26,1,District &amp; Session Judge,20,Adj F.T.C.II
UPKJ010029852016,2023-01-05,20,Adj F.T.C.II,1,District & Session Judge
UPKJ010021372017,2017-08-03,1,District &amp; Session Judge,4,Adj II
UPKJ010024752017,2017-08-19,1,District &amp; Session Judge,20,Adj F.T.C.II
UPKJ010013762017,2017-08-24,1,District &amp; Session Judge,5,Adj III
UPKJ010013762017,2019-04-17,5,Adj III,23,Adj II
UPKJ010013762017,2020-02-26,23,Adj II,20,Adj F.T.C.II
UPKJ010013762017,2023-01-05,20,Adj F.T.C.II,1,District & Session Judge
UPKJ010031662017,2018-01-15,1,District &amp; Session Judge,2,ADJ I
UPKJ010031662017,2018-02-12,2,ADJ I,19,Adj F.T.C.I
UPKJ010031662017,2022-09-28,19,Adj F.T.C.I,2,ADJ I
UPKJ010021562017,2017-08-03,1,District &amp; Session Judge,4,Adj II
UPKJ010022322017,2017-08-09,1,District &amp; Session Judge,20,Adj F.T.C.II
UPKJ010015712017,2017-06-19,1,District &amp; Session Judge,20,Adj F.T.C.II
UPKJ010002642017,2017-08-29,1,District &amp; Session Judge,5,Adj III
UPKJ010002642017,2019-04-17,5,Adj III,23,Adj II
UPKJ010002642017,2020-02-18,23,Adj II,20,Adj F.T.C.II
UPKJ010002642017,2023-01-05,20,Adj F.T.C.II,1,District & Session Judge
UPKJ010021682017,2017-08-04,1,District &amp; Session Judge,20,Adj F.T.C.II
UPKJ010020262017,2017-07-24,1,District &amp; Session Judge,20,Adj F.T.C.II
UPKJ010014412017,2017-06-09,1,District &amp; Session Judge,2,ADJ I
UPKJ010015862017,2017-06-19,4,Adj II,20,Adj F.T.C.II
UPKJ010015862017,2017-06-19,1,District &amp; Session Judge,4,Adj II
UPKJ010012952017,2017-06-03,1,District &amp; Session Judge,2,ADJ I
UPKJ010039332017,2018-01-17,1,District &amp; Session Judge,20,Adj F.T.C.II
UPKJ010039332017,2018-08-04,20,Adj F.T.C.II,2,ADJ I
UPKJ010039332017,2020-01-23,2,ADJ I,18,ADJ IV
UPKJ010039332017,2020-03-19,18,ADJ-IV,2,ADJ I
UPKJ010012732017,2017-06-03,1,District &amp; Session Judge,2,ADJ I
UPKJ010013182017,2017-06-03,1,District &amp; Session Judge,2,ADJ I
UPKJ010019662017,2017-07-21,1,District &amp; Session Judge,20,Adj F.T.C.II
UPKJ010016352017,2017-07-06,1,District &amp; Session Judge,19,Adj F.T.C.I
UPKJ010022442017,2017-08-02,1,District &amp; Session Judge,20,Adj F.T.C.II
UPKJ010012642017,2017-06-03,1,District &amp; Session Judge,2,ADJ I
UPKJ010016182017,2017-06-16,1,District &amp; Session Judge,2,ADJ I
UPKJ010007542017,2017-08-26,1,District &amp; Session Judge,5,Adj III
UPKJ010007542017,2019-04-17,5,Adj III,23,Adj II
UPKJ010007542017,2022-07-25,23,Adj II,2,ADJ I
UPKJ010010692017,2018-03-15,1,District &amp; Session Judge,4,Adj II
UPKJ010010692017,2019-07-16,4,Special Judge SC/St Act,2,ADJ I
UPKJ010018562017,2017-07-11,1,District &amp; Session Judge,20,Adj F.T.C.II
UPKJ010005582017,2017-04-14,1,District &amp; Session Judge,20,Adj F.T.C.II
UPKJ010005582017,2023-01-05,20,Adj F.T.C.II,1,District & Session Judge
UPKJ010020672017,2017-07-26,1,District &amp; Session Judge,20,Adj F.T.C.II
UPSI040014442019,2022-06-20,21,Chief Judicial Magistrate,35,Civil Judge Senior Division  Fast Track Court
UPSI040014442019,2022-06-22,35,Civil Judge Senior Division  Fast Track Court,21,Chief Judicial Magistrate
BRNL110026462018,2018-12-20,5,A.C.J.M-I Comp Department,11,J.M 1st Class- IV
BRKM010010842021,2021-03-04,1,District and Session Judge,27,ADJ - VII Bhabhua Kaimur Bihar
BRKM020007072021,2022-07-22,26,C J M Division,NA,Mohania CJM Division
BRKM020020262016,2016-06-01,6,"CJM, Kaimur at Bhabhua",17,ACJM 4
BRKM020001762021,2022-07-18,7,C J M Division,NA,Mohania CJM Division
BRKM020020242016,2016-06-01,6,"CJM, Kaimur at Bhabhua",28,ACJM 3
BRKM020020242016,2020-08-14,28,ACJM 3,16,J M 1st Class
BRKM020044042017,2019-06-18,6,"CJM, Kaimur at Bhabhua",24,J M 1st Class
BRKM020026902019,2022-01-22,6,"CJM, Kaimur at Bhabhua",24,J M 1st Class
BRKM020026902019,2022-02-03,24,C J M Division,NA,D J Division
BRKM020001102022,2022-01-17,6,"CJM, Kaimur at Bhabhua",21,J M 1st Class
BRKM020001102022,2022-08-01,21,C J M Division,NA,Mohania CJM Division
BRKM020020272016,2016-06-01,6,"CJM, Kaimur at Bhabhua",17,ACJM 4
BRKM020007202015,2015-03-25,6,"CJM, Kaimur at Bhabhua",15,J M 2nd Class
BRKM020007202015,2020-05-05,15,J M 1st Class,14,J M 1st Class
BRKM020037342017,2019-06-18,6,"CJM, Kaimur at Bhabhua",24,J M 1st Class
BRKM010021062019,2019-06-21,1,District and Session Judge,3,ADJ - 1 Bhabhua Kaimur Bihar
BRKM020043982017,2019-06-18,6,"CJM, Kaimur at Bhabhua",24,J M 1st Class
BRKM010030162016,2016-09-21,1,District and Session Judge,3,ADJ - 1 Bhabhua Kaimur Bihar
BRKM020003522021,2022-07-16,7,C J M Division,NA,Mohania CJM Division
BRKM020002552021,2021-03-27,6,"CJM, Kaimur at Bhabhua",30,ACJM 5
BRKM020033502016,2016-08-27,6,"CJM, Kaimur at Bhabhua",26,ACJM 6
BRKM020033492016,2016-08-27,6,"CJM, Kaimur at Bhabhua",26,ACJM 6
BRKM020020222016,2016-06-01,6,"CJM, Kaimur at Bhabhua",27,ACJM 2
BRKM020010272022,2022-09-15,6,"CJM, Kaimur at Bhabhua",28,ACJM 3
BRKM020035952020,2021-03-27,6,"CJM, Kaimur at Bhabhua",14,J M 1st Class
BRKM020035952020,2022-08-10,14,C J M Division,NA,Mohania CJM Division
BRKM020050012018,2021-02-09,6,"CJM, Kaimur at Bhabhua",25,J M 1st Class
BRKM020044292016,2017-04-06,6,"CJM, Kaimur at Bhabhua",30,ACJM 5
BRKM020033482016,2016-08-27,6,"CJM, Kaimur at Bhabhua",26,ACJM 6
BRKM010027862015,2015-12-05,1,District and Session Judge,24,ADJ - VI Bhabhua Kaimur Bihar
BRKM020020232016,2016-06-01,6,"CJM, Kaimur at Bhabhua",27,ACJM 2
BRKM020033472016,2016-08-27,6,"CJM, Kaimur at Bhabhua",26,ACJM 6
BRKM020034222020,2021-02-27,6,"CJM, Kaimur at Bhabhua",16,J M 1st Class
BRKM020006392021,2022-08-20,6,C J M Division,NA,Mohania CJM Division
BRKM020020252016,2016-06-01,6,"CJM, Kaimur at Bhabhua",28,ACJM 3
BRKT010067062020,2020-11-25,1,District and Sessions Judge,43,ADJ-V
BRKT020065762017,2020-07-08,8,CJM,52,JM 1st Class-V
BRKT010005102021,2021-01-15,1,District and Sessions Judge,43,ADJ-V
BRKT010047012021,2021-07-23,1,District and Sessions Judge,43,ADJ-V
BRKT010039932022,2022-10-22,1,District and Sessions Judge,40,ADJ-IV
BRKT010057422020,2020-10-20,1,District and Sessions Judge,25,ADJ-I
BRKT020079982019,2021-02-19,8,CJM,53,JM 1st Class-IV
BRKT020079982019,2022-11-28,53,C J M Division,NA,D J Division
BRKT010050392022,2022-11-15,1,District and Sessions Judge,43,ADJ-V
BRKT020015662017,2017-03-08,8,CJM,37,JM 1st Class-III
BRKT020069482018,2018-09-22,8,CJM,44,Sub Judge-VI
BRKT020089702017,2018-04-03,8,CJM,43,Sub Judge-V
BRKT020089702017,2019-02-14,43,Sub Judge-V,NA,NA
BRKT020104742017,2020-06-05,8,CJM,52,JM 1st Class-V
BRKT010089072022,2022-12-19,1,District and Sessions Judge,13,ADJ-II
BRKT020098832017,2018-09-24,8,CJM,36,JM 1st Class-IV
BRKT010051572020,2020-09-24,1,District and Sessions Judge,43,ADJ-V
BRKT020069342018,2020-06-18,8,CJM,52,JM 1st Class-V
BRKT010054002021,2021-08-18,1,District and Sessions Judge,43,ADJ-V
BRKT020061772020,2021-01-02,8,CJM,37,JM 1st Class-II
BRKT020027782017,2018-05-09,8,CJM,47,JM 1st Class-I
BRKT010049852021,2021-08-03,1,District and Sessions Judge,43,ADJ-V
BRKT020011592018,2018-08-17,8,CJM,37,JM 1st Class-III
BRKT010049962020,2020-09-18,1,District and Sessions Judge,40,ADJ-IV
BRKT010045022021,2021-07-14,1,District and Sessions Judge,20,ADJ-III
BRKT020069312018,2022-04-06,8,CJM,50,JM 2nd Class-I
BRKT020069312018,2022-05-24,50,JM 2nd Class-I,36,JM 1st Class-I
BRKT020061792020,2021-01-02,8,CJM,23,ACJM-I
BRKT020065972017,2020-08-19,8,CJM,52,JM 1st Class-V
BRKT020104612017,2018-01-02,8,CJM,47,JM 1st Class-I
BRKT010003272021,2021-01-09,1,District and Sessions Judge,43,ADJ-V
BRKT010050602021,2021-08-04,1,District and Sessions Judge,43,ADJ-V
BRKT020089692017,2018-10-09,8,CJM,37,JM 1st Class-III
BRKT020038482018,2020-04-21,8,CJM,52,JM 1st Class-V
BRKT020069462018,2018-09-22,8,CJM,44,Sub Judge-VI
BRKT020069462018,2020-01-21,44,ACJM-V,8,CJM
BRKT010009042022,2022-06-04,1,District and Sessions Judge,17,ADJ-X
BRKT010009042022,2022-08-06,17,ADJ-X,13,ADJ-II
BRKT020069302018,2020-03-23,8,CJM,52,JM 1st Class-V
BRKT010050442020,2020-09-21,1,District and Sessions Judge,40,ADJ-IV
MHCC050059912021,2021-12-04,10,Judge  Additional Sessions Judge,15,Assistant Sessions Judge
BRKT010051552021,2021-08-07,1,District and Sessions Judge,43,ADJ-V
BRKT020098822017,2018-09-02,8,CJM,36,JM 1st Class-IV
BRKT010005932022,2022-04-06,1,District and Sessions Judge,25,ADJ-I
BRKT020078532019,2021-12-14,37,C J M Division,NA,D J Division
BRKT020065782015,2020-02-29,45,ACJM-VI,53,JM 1st Class-IV
BRKT020035202021,2021-11-24,8,C J M Division,NA,D J Division
BRKT010002212021,2021-01-07,1,District and Sessions Judge,40,ADJ-IV
BRKT020040702019,2020-11-05,8,CJM,52,JM 1st Class-V
BRKT020061752020,2021-01-02,8,CJM,37,JM 1st Class-II
BRKT020061752020,2022-01-07,37,C J M Division,NA,D J Division
MHCC050031902020,2021-12-04,10,Judge  Additional Sessions Judge,15,Assistant Sessions Judge
BRKT020065732017,2020-03-28,8,CJM,52,JM 1st Class-V
BRKT020013402020,2021-03-15,8,CJM,53,JM 1st Class-IV
BRKT020013402020,2022-02-04,53,C J M Division,NA,D J Division
BRKT020104682017,2018-01-02,8,CJM,37,JM 1st Class-III
BRKT020061782020,2021-01-02,8,CJM,37,JM 1st Class-II
BRKT020061782020,2022-01-24,37,C J M Division,NA,D J Division
BRKT010079662021,2022-06-10,18,ADJ-XI,21,ADJ-XII
BRKT010079662021,2022-06-10,1,District and Sessions Judge,18,ADJ-XI
BRKT010079662021,2022-06-16,NA,NA,17,ADJ-X
