CIN/LLPIN,Legal_Name,Purchaser_Entries,Donor_Type,TotalNumberBonds,TotalDonorAmount,PayBranchCodes,PayTellers
U45200TG2005PTC048066,NSL SEZ (HYDERABAD) PRIVATE LIMITED,NSL SEZ(HYDERABAD) PRIVATE LIMITED;NSL SEZ HYDERABAD PRIVATE LIMITED,NSL SEZ (HYDERABAD) PRIVATE LIMITED,2,245000000,847,6422705;7445512
U74899DL1991PLC044843,MANKIND PHARMA LIMITED,MANKIND PHARMA LIMITED,MANKIND PHARMA LIMITED,1,240000000,691,5972302
L17111PB1973PLC003345,VARDHMAN TEXTILES LIMITED,VARDHMAN TEXTILES LIMITED;VARDHMAN TEXTILES LTD,VARDHMAN TEXTILES LIMITED,2,222500000,1308;628,5809436;7512201;7631030;8492239
U45400MH2014PTC256277,L7 HITECH PRIVATE LIMITED,L7 HITECH PRIVATE LIMITED,L7 HITECH PRIVATE LIMITED,1,220000000,300,1022034
L36900WB1952PLC020274,WPIL LIMITED,WPIL LIMITED,WPIL LIMITED,1,220000000,1,5898161;5054982
U51909WB2021PTC249859,ASKUS LOGISTICS PRIVATE LIMITED,ASKUS LOGISTICS PVT LTD;ASKUS LOGISTICS PRIV;ASKUS LOGISTICS PRIVATE LIMITED,ASKUS LOGISTICS PRIVATE LIMITED,3,220000000,1,5054982;5898161
U45400AP2007PTC054641,HES INFRA PRIVATE LIMITED,HES INFRA PVT LTD,HES INFRA PRIVATE LIMITED,1,220000000,847,3898296;6458726
U55100MH1979PTC021866,K RAHEJA CORP PRIVATE LIMITED,K RAHEJA CORP PVT LTD,K RAHEJA CORP PRIVATE LIMITED,1,210000000,300,7905165;4180496
L34103DL1981PLC011375,MARUTI SUZUKI INDIA LIMITED,MARUTI SUZUKI INDIA LTD,MARUTI SUZUKI INDIA LIMITED,1,200000000,691,5972302
U52609TZ2018PTC030302,HH IRON AND STEEL PRIVATE LIMITED,HH IRON AND STEEL PRIVATE LIMITED,HH IRON AND STEEL PRIVATE LIMITED,1,200000000,800,7273126;7910576;7310854
U45200MH2003PTC142869,BKC PROPERTIES PRIVATE LIMITED,BKC PROPERTIES PVT LTD,BKC PROPERTIES PRIVATE LIMITED,1,200000000,300,4180496;1022034
U26943RJ2005PLC021205,WONDER CEMENT LIMITED,WONDER CEMENT LTD,WONDER CEMENT LIMITED,1,200000000,656,6953433;7024452
U27109TG2002PLC038726,KOYA AND COMPANY CONSTRUCTION LIMITED,KOYA AND COMPANY CONSTRUCTION LTD,KOYA AND COMPANY CONSTRUCTION LIMITED,1,200000000,847,3898296
U24231GJ1985PLC007866,INTAS PHARMACEUTICALS LIMITED,INTAS PHARMACEUTICALS LIMITED,INTAS PHARMACEUTICALS LIMITED,1,200000000,1355,1023671
U70101RJ2016PTC049304,INTERGLOBE REAL ESTATE VENTURES PRIVATE LIMITED,INTERGLOBE REAL ESTATE VENTURES PVT LTD,INTERGLOBE REAL ESTATE VENTURES PRIVATE LIMITED,1,200000000,691,3300196
U25200GJ1997PLC133846,SUN PHARMA LABORATORIES LIMITED,SUN PHARMA LABORATORIES LIMTED,SUN PHARMA LABORATORIES LIMITED,1,200000000,300,4180496
L35911DL1984PLC017354,HERO MOTOCORP LIMITED,HERO MOTOCORP LIMITED,HERO MOTOCORP LIMITED,1,200000000,691,5972302
L65910MH1987PLC042961,BAJAJ FINANCE LIMITED,BAJAJ FINANCE LTD,BAJAJ FINANCE LIMITED,1,200000000,300,4180496
L31300MH1967PLC016531,FINOLEX CABLES LIMITED,FINOLEX CABLES LTD,FINOLEX CABLES LIMITED,1,200000000,300,4180496
U45400MH2011PTC216545,PRL DEVELOPERS PRIVATE LIMITED,PRL DEVELOPERS PRIVATE LIMITED,PRL DEVELOPERS PRIVATE LIMITED,1,200000000,300,4180496
U45400TG2007PTC053720,TELLAPUR TECHNOCITY PRIVATE LIMITED,TELLAPUR TECHNOCITY PRIVATE LIMI,TELLAPUR TECHNOCITY PRIVATE LIMITED,1,200000000,847,7445512
U51109MH2007PTC176711,CHANDER COMMERCIALS PRIVATE LIMITED,CHANDER COMMERCIALS PVT LTD,CHANDER COMMERCIALS PRIVATE LIMITED,1,200000000,300,4180496
U70109DL2006PLC151260,LUCINA LAND DEVELOPMENT LIMITED,LUCINA LAND DEVELOPMENT LIMITED,LUCINA LAND DEVELOPMENT LIMITED,1,200000000,300,4180496
U45206TG2009PTC065888,RAJAPUSHPA PROPERTIES PRIVATE LIMITED,RAJAPUSHPA PROPERTIES PVT LTD,RAJAPUSHPA PROPERTIES PRIVATE LIMITED,1,200000000,847,3898296
U40108TG2009PLC065804,MYTRAH ENERGY (INDIA) LIMITED,MYTRAH ENERGY INDIA PRIVATE LIMITED;MYTRAH ENERGY(INDIA) PRIVATE LIMITED,MYTRAH ENERGY (INDIA) LIMITED,2,190000000,847,8424020;7445512;6398456
U45202GJ2003PTC043160,DINESHCHANDRA R AGARWAL INFRACON PRIVATE LIMITED,DINESHCHANDRA R AGRAWAL INFRACON PVT LTD,DINESHCHANDRA R AGARWAL INFRACON PRIVATE LIMITED,1,185000000,1355,5121647;1023671
L24100MH1983PLC029442,LUPIN LIMITED,LUPIN LIMITED,LUPIN LIMITED,1,180000000,300,7905165
U27109WB2006PTC111146,ORISSA METALIKS PRIVATE LIMITED,ORISSA METALIKS PVT LIMITED;ORRISA METALIKS PVT LTD,ORISSA METALIKS PRIVATE LIMITED,2,180000000,1,6405134
L65993PN2007PLC130076,BAJAJ AUTO LIMITED.,BAJAJ AUTO LTD,BAJAJ AUTO LIMITED.,1,180000000,300,7905165;4180496
U45200MH1986PLC041047,RAY CONSTRUCTIONS LIMITED,RAY CONSTRUCTIONS LTD,RAY CONSTRUCTIONS LIMITED,1,175001000,300,7905165;4180496;1022034
U24100TG2007PTC055636,HINDYS LAB PRIVATE LIMITED,HINDYS LAB PRIVATE LTD;HINDYS LAB PVT. LTD. (PREVIOUSLY HIND LI FE SCIENCES PVT LTD),HINDYS LAB PRIVATE LIMITED,2,175000000,847,6458726;7450648;7445512
U40106DL2014PTC274642,OSTRO MADHYA WIND PRIVATE LIMITED,OSTRO MADHYA WIND PRIVATE LIMITED,OSTRO MADHYA WIND PRIVATE LIMITED,1,170000000,691,8212066
U40300DL2013PTC248984,OSTRO JAISALMER PRIVATE LIMITED,OSTRO JAISALMER PRIVATE LIMITED,OSTRO JAISALMER PRIVATE LIMITED,1,170000000,691,8212066
U70109MH1998PTC116091,S D CORPORATION PRIVATE LIMITED,S D CORPORATION PVT LTD,S D CORPORATION PRIVATE LIMITED,1,170000000,300,6830668;4180496
U24240GJ1980PLC003670,NIRMA LIMITED,NIRMA LIMITED,NIRMA LIMITED,1,160000000,1355,5121647;1023671
U50400TN2018PTC121056,TVS MOBILITY PRIVATE LIMITED,TVS MOBILITY PRIVATE LIMITED,TVS MOBILITY PRIVATE LIMITED,1,160000000,800,7310854
U74900MH2010PTC199989,ISHAN TECHNICAL PLANT SERVICES PRIVATE LIMITED,ISHAN TECHNICAL PLANT SERVICES PVT LTD,ISHAN TECHNICAL PLANT SERVICES PRIVATE LIMITED,1,160000000,300,4180496
L18101KL1992PLC006528,KITEX GARMENTS LIMITED,KITEX GARMENTS LIMITED,KITEX GARMENTS LIMITED,1,160000000,941,7270860;6554695
U24232KA1973PLC002401,MICRO LABS LIMITED,MICRO LABS LTD;MICRO LABS LIMITED,MICRO LABS LIMITED,2,160000000,813,6188222
L74899DL1986PLC050910,GOODLUCK INDIA LIMITED,GOODLUCK INDIA LTD;GOODLUCK INDIA LIMITED,GOODLUCK INDIA LIMITED,2,150000000,691,3428540;7516991;8212066;5972302
U24297TG2013PLC087048,EUGIA PHARMA SPECIALITIES LIMITED,EUGIA PHARMA SPECIALITIES LIMITED,EUGIA PHARMA SPECIALITIES LIMITED,1,150000000,847,6458726
U74899DL2000PLC106823,INFOTEL BUSINESS SOLUTIONS LIMITED.,INFOTELBUSINESSSOLUTIONSLTDBR,INFOTEL BUSINESS SOLUTIONS LIMITED.,1,150000000,691,3300196
AAF-4511,TERACON BUILDTECH LLP,TERACON BUILDTECH LLP,TERACON BUILDTECH LLP,1,150000000,1355,1023671
U70101WB1969PTC027441,MISRILALL MINES PRIVATE LIMITED,MISRILALL MINES PVT LTD,MISRILALL MINES PRIVATE LIMITED,1,150000000,1,6405134
U70101DL2005PTC143585,DLF GARDEN CITY INDORE PRIVATE LIMITED,DLF GARDEN CITY INDORE PVT LTD,DLF GARDEN CITY INDORE PRIVATE LIMITED,1,150000000,691,5972302
U45400TG2007PTC096447,AQUA SPACE DEVELOPERS PRIVATE LIMITED,AQUA SPACE DEVELOPERS PRIVATE LIMIT,AQUA SPACE DEVELOPERS PRIVATE LIMITED,1,150000000,847,7445512
L17110GJ1985PLC033271,WELSPUN INDIA LIMITED,WELSPUN LIVING LIMITED;WELSPUN INDIA LIMITED,WELSPUN INDIA LIMITED,2,150000000,300,7905165;1022034
U64200MH2007PLC176804,AKSENTT TECH SERVICES LIMITED,AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),AKSENTT TECH SERVICES LIMITED,1,150000000,300,7905165
U24100TG2013PTC089489,SELMA LABORATORIES PRIVATE LIMITED,SELMAR LAB PRIVATE LTD;SELMAR LAB PRIVATE LIMITED,SELMA LABORATORIES PRIVATE LIMITED,2,150000000,847,7450648;6458726
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,ALKEM LABORATORIES LIMITED,ALKEM LABORATORIES LIMITED,1,150000000,300,7905165
U65100WB2010PTC153196,ABHINANDAN STOCK BROKING PRIVATE LIMITED,ABHINANDANSTOCKBROKINGPVTLTD,ABHINANDAN STOCK BROKING PRIVATE LIMITED,1,147000000,1,5898161;6563457;5054982;6405134
U51909WB1992PLC054881,SHRI JAGANNATH STEELS & POWER LIMITED,SHRI JAGANNATH STEELS & POWER LTD,SHRI JAGANNATH STEELS & POWER LIMITED,1,145000000,41;691,3428540;7409060;7516991
L74999RJ1938PLC019511,JK LAKSHMI CEMENT LIMITED,JK LAKSHMI CEMENT LIMITED,JK LAKSHMI CEMENT LIMITED,1,140000000,691,8212066;5972302;7516991
L24239MH1949PLC007837,IPCA LABORATORIES LIMITED,IPCA LABORATORIES LIMITED,IPCA LABORATORIES LIMITED,1,135000000,300,7905165;1022034
U45200TG1984PTC004425,SANDHYA CONSTRUCTIONS PVT LTD,SANDHYA CONSTRUCTIONS & ESTATES PRIVATE LIMITED,SANDHYA CONSTRUCTIONS PVT LTD,1,130000000,847,6417329
L51101GJ2012PLC072578,WELSPUN ENTERPRISES LIMITED,WELSPUN ENTERPRISES LTD,WELSPUN ENTERPRISES LIMITED,1,130000000,300,7905165;4180496
U15132WB1977PTC030939,HIMALAYAN ENDEAVOUR PVT LTD,HIMALAYAN ENDEAVOUR PVT LTD,HIMALAYAN ENDEAVOUR PVT LTD,1,129000000,1,5898161;6405134;5054982;5899230
U24110TG2015PTC098450,HAZELO LAB PRIVATE LIMITED,HAZELO LAB PRIVATE LTD,HAZELO LAB PRIVATE LIMITED,1,125000000,847,7445512;3394387
U27100TN2008PTC068037,M K K METAL SECTIONS PRIVATE LIMITED,MKK METAL SECTIONS P LTD;MKK METAL SECTIONS PVT LTD,M K K METAL SECTIONS PRIVATE LIMITED,2,125000000,800,7273126;7910576;1019582;7273126
U29197MH1991PTC064661,SATEC ENVIR ENGINEERING (INDIA) PRIVATE LIMITED,SATEC ENVIR ENGINEERING (I) PVT LTD,SATEC ENVIR ENGINEERING (INDIA) PRIVATE LIMITED,1,120000000,300,7905165
U14292DL2004PTC127951,MOHIT MINERALS PRIVATE LIMITED,MOHIT MINERALS LTD;MOHIT MINERALS LIMITED,MOHIT MINERALS PRIVATE LIMITED,2,120000000,691,5972302
U74990MH2010PTC200061,TALENTO TECHNICAL PLANT SERVICES PRIVATE LIMITED,TALENTO TECHNICAL PLANT SERVICES PVT LTD,TALENTO TECHNICAL PLANT SERVICES PRIVATE LIMITED,1,120000000,300,4180496
U64201DL2006PLC156038,BHARTI INFRATEL LIMITED,BHARTI INFRATEL LIMITED,BHARTI INFRATEL LIMITED,1,120000000,691,3300196
L24110GJ1987PLC009362,GUJARAT FLUOROCHEMICALS LIMITED,GUJARAT FLUORO CHEMICALS LIMITED,GUJARAT FLUOROCHEMICALS LIMITED,1,120000000,1355,5137969
U25200MH1997PLC240268,SUN PHARMA LABORATORIES LIMITED,SUN PHARMA LABORATORIES LTD,SUN PHARMA LABORATORIES LIMITED,1,115000000,300;691,4180496;3300196
U73100WB2000PTC091705,RIPLEY & COMPANY (STEVEDORING & HANDLING) PVT LTD,RIPLEY & CO STEVDORING & HANDLING PVT LT D;RIPLEY AND CO. STEVEDORING & HANDLING PVT LTD,RIPLEY & COMPANY (STEVEDORING & HANDLING) PVT LTD,2,115000000,1,5898161;5054982;6405134;6405134
AAM-6165,BESSEGGEN INFOTECH LLP,BESSEGGENINFOTECHLLP;BESSEGGEN INFOTECH LLP,BESSEGGEN INFOTECH LLP,2,115000000,691,3428540;7516991;8212066;5972302
U15511WB2008PTC129576,HERALD BEVERAGES PRIVATE LIMITED,HERALD BEVERAGES PRIVATE LIMITED,HERALD BEVERAGES PRIVATE LIMITED,1,115000000,1,5898161;5054982;6563457
U23109WB2003PLC096813,BENGAL COKE COMPANY LIMITED,BENGAL COKE COMPANY LIMITED,BENGAL COKE COMPANY LIMITED,1,113210000,1,6405134
U74900MH2008PTC180911,REAL TECHNICAL SOLUTIONS PRIVATE LIMITED,REAL TECHNICAL SOLUTIONS PVT LTD,REAL TECHNICAL SOLUTIONS PRIVATE LIMITED,1,110000000,300,4180496
L45200MH2005PLC152061,KEC INTERNATIONAL LIMITED,KEC INTERNATIONAL LIMITED,KEC INTERNATIONAL LIMITED,1,110000000,300,4180496
U62200DL2009PLC196031,INTERGLOBE AIR TRANSPORT LIMITED,INTERGLOBE AIR TRANSPORT LIMITED,INTERGLOBE AIR TRANSPORT LIMITED,1,110000000,691,3300196
U15520WB1979PTC032178,SENGUPTA & SENGUPTA PVT LTD,SENGUPTA AND SENGUPTA PVT LTD;SENGUPTA AND SENGUPTA PRIVATE LIMIT,SENGUPTA & SENGUPTA PVT LTD,2,107000000,1,5898161;5898161;6405134;5054982;5899230
U41000UP2006PLC069631,JWIL INFRA LIMITED,JWIL INFRA LTD. (FORM. JITF WATER,JWIL INFRA LIMITED,1,105000000,691,5972302
U93000MH2008PTC178009,JAI BHARAT TECHNICAL SERVICES PRIVATE LIMITED,JAI BHARAT TECHNICAL SERVICES PVT LTD,JAI BHARAT TECHNICAL SERVICES PRIVATE LIMITED,1,105000000,300,4180496
U50400DL2012PTC236431,COMFORT TRIMS PRIVATE LIMITED,COMFORT TRIMS PRIVATE LIMITED DIVIS;COMFORT TRIMS PRIVATE LIMITED,COMFORT TRIMS PRIVATE LIMITED,2,105000000,691,5972302;3300196
L24230GJ2010PLC061123,ALEMBIC PHARMACEUTICALS LIMITED,ALEMBICPHARMACEUTICALSLINCLRTGS,ALEMBIC PHARMACEUTICALS LIMITED,1,102000000,1355,1023671
U28129WB1992PTC054966,MONALISA BOTTLING INDUSTRIES PVT LTD,MONALISA BOTTLING INDUSTRIES PVT LTD,MONALISA BOTTLING INDUSTRIES PVT LTD,1,101500000,1,5898161;6405134;5054982;5899230
U45209AP2015PTC096147,ACE URBAN DEVELOPERS PRIVATE LIMITED,ACE URBAN DEVELOPERS PVT LTD,ACE URBAN DEVELOPERS PRIVATE LIMITED,1,100000000,847,6458726
U72200TG2004PTC044073,SUPER CYBERTECH PARK PRIVATE LIMITED,SUPER CYBERTECH PARK PRIVATE LIMITE,SUPER CYBERTECH PARK PRIVATE LIMITED,1,100000000,847,7445512
U70109DL2006PLC151538,ATHENA INFRASTRUCTURE LIMITED,ATHENA INFRASTRUCTURE LIMITED,ATHENA INFRASTRUCTURE LIMITED,1,100000000,300,4180496
U70109DL2006PLC151147,SELENE CONSTRUCTIONS LIMITED,SELENE CONSTRUCTIONS LIMITED,SELENE CONSTRUCTIONS LIMITED,1,100000000,300,4180496
U70109DL2006PLC150229,SYLVANUS PROPERTIES LIMITED,SYLVANUS PROPERTIES LIMITED,SYLVANUS PROPERTIES LIMITED,1,100000000,300,4180496
U70102PN2007FTC129540,PEGASUS PROPERTIES PRIVATE LIMITED,PEGASUS PROPERTIES PVT LTD,PEGASUS PROPERTIES PRIVATE LIMITED,1,100000000,300,4180496
U70102KA1996PTC020293,PRESTIGE GARDEN ESTATES PRIVATE LIMITED,PRESTIGE GARDEN ESTATES PRIVATE LIM,PRESTIGE GARDEN ESTATES PRIVATE LIMITED,1,100000000,813,6188222
U67910GJ1994PLC022685,ABNL INVESTMENT LIMITED,ABNLINVESTMENTLIMITED,ABNL INVESTMENT LIMITED,1,100000000,300,4180496
U67120MH2007PTC170650,ENAM HOLDINGS PRIVATE LIMITED,ENAM HOLDINGS PRIVATE LIMITED,ENAM HOLDINGS PRIVATE LIMITED,1,100000000,300,4180496
U65999MH2017PLC291071,PIRAMAL CAPITAL & HOUSING FINANCE LIMITED,PIRAMAL CAPITAL AND HOUSING FINANCE LTD,PIRAMAL CAPITAL & HOUSING FINANCE LIMITED,1,100000000,300,4180496
U52609TG2016PTC109598,SHRI SHAMLAJI SALES PRIVATE LIMITED,SHRI SHAMLAJI SALES PRIVATE LIMITED,SHRI SHAMLAJI SALES PRIVATE LIMITED,1,100000000,847,6458726
U24239TG2006PLC052053,APL HEALTHCARE LIMITED,APL HEALTHCARE LIMITED,APL HEALTHCARE LIMITED,1,100000000,847,6458726
U26941GJ1981PTC004569,J K CEMENT PVT LTD,J K CEMENT LTD.;J K CEMENT LIMITED,J K CEMENT PVT LTD,2,100000000,125,5918359;7626436
U45202GJ2001PTC039311,ENVIRO CONTROL PRIVATE LIMITED,ENVIRO CONTROL PRIVATE LIMITED FORM,ENVIRO CONTROL PRIVATE LIMITED,1,100000000,1355,1023671
U45201TG1997PLC028680,GVPR ENGINEERS LIMITED,GVPR ENGINEERS LTD,GVPR ENGINEERS LIMITED,1,100000000,847,6458726
U74120DL2008PTC174321,INFOTEL TECHNOLOGIES PRIVATE LIMITED,INFOTELTECHNOLOGIESPRIVATELIMITE,INFOTEL TECHNOLOGIES PRIVATE LIMITED,1,100000000,691,3300196
U24230TG1996PLC023232,BHARAT BIOTECH INTERNATIONAL LIMITED,BHARAT BIOTECH INTERNATIONAL LIMITED,BHARAT BIOTECH INTERNATIONAL LIMITED,1,100000000,847,6458726
U45201KA2008PTC046784,PRESTIGE PROJECTS PRIVATE LIMITED,PRESTIGE PROJECTS PVT LTD,PRESTIGE PROJECTS PRIVATE LIMITED,1,100000000,813,6188222
U45201DL2006PTC147359,CHANDRAJYOTI ESTATE DEVELOPERS PRIVATE LIMITED,CHANDRAJYOTI ESTATE DEVELOPERS PVT.,CHANDRAJYOTI ESTATE DEVELOPERS PRIVATE LIMITED,1,100000000,691,7516991
U74999KA2016PTC096670,BIOXGREEN TECHNOLOGY PRIVATE LIMITED,BIOXGREEN TECHNOLOGY PRIVATE LIMITE,BIOXGREEN TECHNOLOGY PRIVATE LIMITED,1,100000000,800,7273126
U40109DL2000PTC231172,SNEHA KINETIC POWER PROJECTS PRIVATE LIMITED,SNEHA KINETIC POWER PROJECTS PVT LTD,SNEHA KINETIC POWER PROJECTS PRIVATE LIMITED,1,100000000,847,6458726
U24239MH1961PTC012098,USV PRIVATE LIMITED,USV PRIVATE LTD ( FORMERLY USV LTD),USV PRIVATE LIMITED,1,100000000,300,7905165
U24239TG2003PTC041583,MSN LABORATORIES PRIVATE LIMITED,MSN LABORATORIES PVT LTD,MSN LABORATORIES PRIVATE LIMITED,1,100000000,847,6458726
U74120MH2015PTC265318,SRICHAITANYA STUDENTS FACILITY MANAGEMENT PRIVATE LIMITED,SRICHAITANYA STUDENTS FACILITY MANAGEMENT PVT LTD,SRICHAITANYA STUDENTS FACILITY MANAGEMENT PRIVATE LIMITED,1,100000000,847,3898296
U99999MH1989PTC053566,BRIGHT STAR INVESTMENTS PRIVATE LIMITED,BRIGHT STAR INVESTMENTS PVT.LTD,BRIGHT STAR INVESTMENTS PRIVATE LIMITED,1,100000000,300,4180496
AAF-6576,PPR M SAND LLP,PPR M SAND LLP,PPR M SAND LLP,1,100000000,847,3898296
L26940MH1999PLC118229,NUVOCO VISTAS CORPORATION LIMITED,NUVOCO VISTAS CORP. LTD;NUVOCO VISTAS CORPORATION LTD,NUVOCO VISTAS CORPORATION LIMITED,2,100000000,300,7905165;1022034
L74100MH1991PLC063332,PIRAMAL ENTERPRISES LTD,PIRAMAL ENTERPRISES LTD,PIRAMAL ENTERPRISES LTD,1,100000000,300,4180496
L74110DL1992PLC116773,BEST AGROLIFE LIMITED,BEST AGROLIFE LIMITED,BEST AGROLIFE LIMITED,1,100000000,691,5972302
L74210DL1995PLC238364,KNR CONSTRUCTIONS LIMITED,KNR CONSTRUCTIONS LTD,KNR CONSTRUCTIONS LIMITED,1,100000000,847,7445512
L74899DL1989PLC034923,DCM SHRIRAM LIMITED,DCM SHRIRAM LTD;DCM SHRIRAM LIMITED,DCM SHRIRAM LIMITED,2,100000000,691,8212066;5972302
L35911PN1945PLC004656,BAJAJ HOLDINGS & INVESTMENT LIMITED.,BAJAJ HOLDINGS & INVESTMENT LIMITED,BAJAJ HOLDINGS & INVESTMENT LIMITED.,1,100000000,300,4180496
L17229UP1994PLC017199,J. K. CEMENT LIMITED.,J.K.CEMENT LTD.,J. K. CEMENT LIMITED.,1,100000000,691,3428540
AAM-6353,D S ENGINEERING WORKS LLP,D S ENGINEERING WORKSHOP LLP;D S ENGINEERING WORKS LLP,D S ENGINEERING WORKS LLP,2,100000000,300;847,4180496;7445512
L24219GJ1985PLC025132,UPL LIMITED,UPL LIMITED,UPL LIMITED,1,100000000,300,6830668
L35921TN1992PLC022845,TVS MOTOR COMPANY LIMITED,TVS MOTOR COMPANY LIMITED,TVS MOTOR COMPANY LIMITED,1,100000000,800,7910576
L72200TG1991PLC013134,CYIENT LIMITED,CYIENT LIMITED,CYIENT LIMITED,1,100000000,847,6458726
L24299MH1977PLC019982,GLENMARK PHARMACEUTICALS LIMITED,GLENMARK PHARMACEUTICALS LTD,GLENMARK PHARMACEUTICALS LIMITED,1,97500000,300,7905165
U45206GJ2006PLC049570,RANJIT BUILDCON LIMITED,RANJIT BUILDCON LIMITED,RANJIT BUILDCON LIMITED,1,90000000,1355,1023671
U45300MH1973PTC016515,MICHIGAN ENGINEERS PVT LTD,MICHIGAN ENGINEERS PVT LTD,MICHIGAN ENGINEERS PVT LTD,1,90000000,300,7905165
L17119GJ1931PLC000093,ARVIND LIMITED,ARVIND LIMITED,ARVIND LIMITED,1,90000000,1355,8413274;1023671
U74910MH2007PTC168935,INDUSTRIAL TECHNO MAN POWER SUPPLY & SERVICES PRIVATE LIMITED,INDUSTRIAL TECHNO MAN POWER SUPPLY AND SERVICES PVT LTD,INDUSTRIAL TECHNO MAN POWER SUPPLY & SERVICES PRIVATE LIMITED,1,90000000,300,4180496
U18101KL1991PLC006048,KITEX CHILDRENSWEAR LIMITED,KITEX CHILDRENSWEAR LTD,KITEX CHILDRENSWEAR LIMITED,1,90000000,941,7270860;6554695
U14299GA1971PTC000110,HARDESH ORES PRIVATE LIMITED,HARDESH ORES PVT LTD,HARDESH ORES PRIVATE LIMITED,1,90000000,509,7315678
U93000WB2011PTC166220,PROCURE ADVISORY SERVICES PRIVATE LIMITED,PROCURE ADVISORY SERVICES PRIVATE LTD;PROCURE ADVISORY SERVICES PRIVATE L,PROCURE ADVISORY SERVICES PRIVATE LIMITED,2,90000000,41,7409060
U74899UP1993PLC034039,VACMET INDIA LIMITED,VACMETINDIALIMITED,VACMET INDIA LIMITED,1,90000000,691,3428540
U45201MH2006PTC162833,OM METALS DEVELOPRS PRIVATE LIMITED,OM METALS DEVELOPERS (P) LTD.,OM METALS DEVELOPRS PRIVATE LIMITED,1,90000000,691,2039265;3300196
U45201KA1993PTC014334,YOGA BUILDERS PRIVATE LIMITED,YOGA BUILDERS PVT LTD,YOGA BUILDERS PRIVATE LIMITED,1,85000000,300,7905165;4180496
U13100KA2010PTC053902,SRI KUMARASWAMY MINERAL EXPORTS PRIVATE LIMITED,SRI KUMARASWAMY MINERAL EXPORTS PR,SRI KUMARASWAMY MINERAL EXPORTS PRIVATE LIMITED,1,83300000,813,6188222
U40102AP2015PTC096125,GREENKO ENERGY PROJECT SERVICES PRIVATE LIMITED,GREENKO ENERGY PROJECTS PRIVATE LTD,GREENKO ENERGY PROJECT SERVICES PRIVATE LIMITED,1,80000000,847,3394387
U45209CH2010PTC032152,UNIPRO TECHNO INFRASTRUCTURE PRIVATE LIMITED,UNIPRO TECHNO INFRASTRUCTURE PVT LTD,UNIPRO TECHNO INFRASTRUCTURE PRIVATE LIMITED,1,80000000,628,5809436
AAG-1340,SKP MERCHANTS LLP,SKP MERCHANTS LLP,SKP MERCHANTS LLP,1,80000000,1,6405134;5899230
U24219GJ1995PTC028519,SUN PETROCHEMICALS PRIVATE LIMITED,SUN OILNATURAL GAS DIV SUN PETRO P.,SUN PETROCHEMICALS PRIVATE LIMITED,1,80000000,300,7905165
U60231TZ1999PTC008876,THRIVENI EARTHMOVERS PRIVATE LIMITED,THRIVENI EARTHMOVERS PVT LTD;THRIVENI EARTH MOVERS PVT LTD,THRIVENI EARTHMOVERS PRIVATE LIMITED,2,80000000,300;800,7273126;1022034
U45309TG2016PTC113719,AQ SQUARE REALTORS PRIVATE LIMITED,AQ SQUARE REALTORS PRIVATE LIMITED,AQ SQUARE REALTORS PRIVATE LIMITED,1,80000000,847,7443242
U74999HR1942PTC000447,THE PUNJAB BUSINESS & SUPPLY COMPANY PRIVATE LIMITED,THE PUNJAB BUSINESS SUPPLY COMPANY,THE PUNJAB BUSINESS & SUPPLY COMPANY PRIVATE LIMITED,1,78000000,1,5898161
U55101MH2007PTC167149,DERIVE TRADING AND RESORTS PRIVATE LIMITED,DERIVE TRADING AND RESORTS PRIVATE LIMIT;DERIVE TRADING AND RESORTS PRIVATE LIMITED,DERIVE TRADING AND RESORTS PRIVATE LIMITED,2,75000000,300,4180496
U27209DL2007PTC159768,AJAY METALLOYS PRIVATE LIMITED,AJAY METALLOYS PVT LTD,AJAY METALLOYS PRIVATE LIMITED,1,75000000,691,3428540;5972302
U24240TG2015PTC099918,DASAMI LAB PRIVATE LIMITED,DASAMI LAB PRIVATE LIMITED (FORMERLY HEL IUS LAB PVT LTD);DASAMI LAB PRIVATE LTD,DASAMI LAB PRIVATE LIMITED,2,75000000,847,7450648;6458726
L26943RJ1979PLC001935,SHREE CEMENT LIMITED,SHREE CEMENT LTD;SHREE CEMENT LIMITED,SHREE CEMENT LIMITED,2,75000000,656;656;691,3428540;6987052;6971520;6088503
U51229WB2003PTC096227,CASTLE LIQUORS PRIVATE LIMITED,CASTLE LIQUORS PRIVATE LIMITED,CASTLE LIQUORS PRIVATE LIMITED,1,75000000,1,5898161;5054982
U45203MH2009PLC196776,WARORA-CHANDRAPUR-BALLARPUR TOLLROAD LIMITED,WARORA CHANDRAPUR BALLARPUR TOLLROA;WARORA CHANDRAPUR BALLARPUR TOLLRO,WARORA-CHANDRAPUR-BALLARPUR TOLLROAD LIMITED,2,70010000,300,1022034
U40102TG2015PLC098594,SOMASILA SOLAR POWER LIMITED,SOMASILA SOLAR POWER LIMITED,SOMASILA SOLAR POWER LIMITED,1,70000000,847,7445512;6458726
