CIN/LLPIN,Legal_Name,Purchaser_Entries,Donor_Type,TotalNumberBonds,TotalDonorAmount,PayBranchCodes,PayTellers
U17120GJ2013PTC077507,RAGHAV COTSPIN PRIVATE LIMITED,RAGHAV COTSPIN PRIVATE LIMITED,RAGHAV COTSPIN PRIVATE LIMITED,1,1504000,1355,1023671
U17122WB2009PTC139272,SALASAR SAREES PRIVATE LIMITED,SALASAR SAREES PVT LTD,SALASAR SAREES PRIVATE LIMITED,1,1500000,1,6405134
AAA-3434,SKY WORLD DEVELOPERS LLP,SKYWORLD DEVELOPERS LLP,SKY WORLD DEVELOPERS LLP,1,1500000,78,7601204
U51909WB1994PTC066866,HIMANGA MERCANTILES PVT. LTD.,HIMANGA MERCANTILES PVT LTD,HIMANGA MERCANTILES PVT. LTD.,1,1500000,1,5898161
L25111TN1960PLC004306,MRF LIMITED,M R F LIMITED,MRF LIMITED,1,1500000,800,7273126
AAJ-7020,MYRIAD DEVELOPERS LLP,MYRIAD DEVELOPERS,MYRIAD DEVELOPERS LLP,1,1500000,78,7601204
U51219GJ2012PTC072344,SUSTAINABLE SPINNING AND COMMODITIES PRIVATE LIMITED,SUSTAINABLE SPINNING AND COMMODITIES PVT LTD,SUSTAINABLE SPINNING AND COMMODITIES PRIVATE LIMITED,1,1450000,1355,8413274
U17120GJ2015PTC084477,SHINE COT-SPIN PRIVATE LIMITED,SHINE COTSPIN PVT LTD,SHINE COT-SPIN PRIVATE LIMITED,1,1368000,1355,1023671
U05005TG1995PLC021217,OCEAN SPARKLE LIMITED,OCEAN SPARKLE LTD,OCEAN SPARKLE LIMITED,1,1000000,847,8424020
U99999DL2001PLC110396,INDIA EXPOSITION MART LTD,INDIA EXPOSITION MART LTD,INDIA EXPOSITION MART LTD,1,1000000,691,8212066
U72200DL1994PTC333197,LEPTON SOFTWARE EXPORT & RESEARCH PRIVATE LIMITED,LEPTON SOFTWARE EXPORT AND RESEARCH PRIVATE LTD,LEPTON SOFTWARE EXPORT & RESEARCH PRIVATE LIMITED,1,1000000,691,3428540
U15400DL2008PTC185245,GPC FOODS PRIVATE LIMITED,GPC FOODS PRIVATE LIMITED,GPC FOODS PRIVATE LIMITED,1,1000000,628,5809436
AAO-0488,B M A MERCHANDISE LLP,B M A MERCHANDISE LLP,B M A MERCHANDISE LLP,1,1000000,1,6405134
AAO-7755,TULIP RESIDENCY LLP,TULIP RESIDENCY LLP,TULIP RESIDENCY LLP,1,1000000,1,6405134
U52599KL1995PLC008606,GEOJIT INVESTMENT SERVICES LIMITED,GEOJIT INVESTMENT SERVICES LTD,GEOJIT INVESTMENT SERVICES LIMITED,1,1000000,941,7270860
AAC-2213,GLOWING FERN HIGHRISE LLP,GLOWING FERN HIGHRISE LLP,GLOWING FERN HIGHRISE LLP,1,1000000,1,6405134
U70101WB1995PTC073890,RAVLON PROPERTIES PVT.LTD.,RAVLON PROPERTIES PVT LTD.,RAVLON PROPERTIES PVT.LTD.,1,1000000,1,6405134
AAH-0395,UTSAV ENCLAVE LLP,UTSAV ENCLAVE LLP,UTSAV ENCLAVE LLP,1,1000000,1,6405134
AAS-2389,MIRANIA COMPLEX LLP,MIRANIA COMPLEX LLP,MIRANIA COMPLEX LLP,1,1000000,1,6405134
U51909RJ2018PTC061166,AVIGHNA MEDITECH SOLUTIONS PRIVATE LIMITED,AVIGHNA MEDITECH SOLUTIONS PVT LTD,AVIGHNA MEDITECH SOLUTIONS PRIVATE LIMITED,1,1000000,656,1013030
U72200WB2000PTC091478,BMW INFOTECH PRIVATE LIMITED,BMW INFOTECH PRIVATE LIMITED,BMW INFOTECH PRIVATE LIMITED,1,900000,1,6405134
U99999MH1976PTC019360,PREMIER PEN AND PLASTICS INDUSTRIES PRIVATE LIMITED,PREMIER PLASTIC INDUSTRIES,PREMIER PEN AND PLASTICS INDUSTRIES PRIVATE LIMITED,1,900000,847,6458726
U51109WB1996PTC077621,KAMNA COMMERCIAL PVT LTD,KAMNA COMMERCIAL PRIVATE LIMITED,KAMNA COMMERCIAL PVT LTD,1,500000,1,6405134
U28997MH1995PLC085294,R R KABEL LIMITED,R R KABEL LIMITED,R R KABEL LIMITED,1,200000,1355,1023671
L74999MH1957PLC010975,GRAUER AND WEIL (INDIA) LIMITED,GRAUER AMP WEIL INDIA LIMITED,GRAUER AND WEIL (INDIA) LIMITED,1,100000,300,4180496
U08012WB1996PTC134064,ADWITA FINVEST PRIVATE LIMITED,ADWITA FINVEST PRIVATE LIMITED,ADWITA FINVEST PRIVATE LIMITED,1,1000,1,6405134
