Category,State/UT,Offense_Category,Offense_Subcategory,Incidents
State,Uttarakhand,Custodial,Public Servant,0
State,West Bengal,Custodial,Public Servant,0
UT,Andaman & Nicobar Islands,Custodial,Public Servant,0
UT,Chandigarh,Custodial,Public Servant,0
UT,Dadra & Nagar Haveli,Custodial,Public Servant,0
UT,Daman & Diu,Custodial,Public Servant,0
UT,Delhi,Custodial,Public Servant,0
UT,Lakshadweep,Custodial,Public Servant,0
UT,Puducherry,Custodial,Public Servant,0
State,Andhra Pradesh,Custodial,Member of Armed Forces,1
State,Arunachal Pradesh,Custodial,Member of Armed Forces,0
State,Assam,Custodial,Member of Armed Forces,0
State,Bihar,Custodial,Member of Armed Forces,0
State,Chhattisgarh,Custodial,Member of Armed Forces,0
State,Goa,Custodial,Member of Armed Forces,0
State,Gujarat,Custodial,Member of Armed Forces,0
State,Haryana,Custodial,Member of Armed Forces,0
State,Himachal Pradesh,Custodial,Member of Armed Forces,0
State,Jammu & Kashmir,Custodial,Member of Armed Forces,0
State,Jharkhand,Custodial,Member of Armed Forces,0
State,Karnataka,Custodial,Member of Armed Forces,0
State,Kerala,Custodial,Member of Armed Forces,0
State,Madhya Pradesh,Custodial,Member of Armed Forces,0
State,Maharashtra,Custodial,Member of Armed Forces,0
State,Manipur,Custodial,Member of Armed Forces,0
State,Meghalaya,Custodial,Member of Armed Forces,0
State,Mizoram,Custodial,Member of Armed Forces,0
State,Nagaland,Custodial,Member of Armed Forces,0
State,Odisha,Custodial,Member of Armed Forces,0
State,Punjab,Custodial,Member of Armed Forces,0
State,Rajasthan,Custodial,Member of Armed Forces,0
State,Sikkim,Custodial,Member of Armed Forces,0
State,Tamil Nadu,Custodial,Member of Armed Forces,0
State,Telangana,Custodial,Member of Armed Forces,0
State,Tripura,Custodial,Member of Armed Forces,0
State,Uttar Pradesh,Custodial,Member of Armed Forces,0
State,Uttarakhand,Custodial,Member of Armed Forces,0
State,West Bengal,Custodial,Member of Armed Forces,0
UT,Andaman & Nicobar Islands,Custodial,Member of Armed Forces,0
UT,Chandigarh,Custodial,Member of Armed Forces,0
UT,Dadra & Nagar Haveli,Custodial,Member of Armed Forces,0
UT,Daman & Diu,Custodial,Member of Armed Forces,0
UT,Delhi,Custodial,Member of Armed Forces,0
UT,Lakshadweep,Custodial,Member of Armed Forces,0
