Category,State/UT,Offense_Category,Offense_Subcategory,Incidents
State,Karnataka,Non-Custodial,Endanger life of Women,1
State,Kerala,Non-Custodial,Endanger life of Women,4
State,Madhya Pradesh,Non-Custodial,Endanger life of Women,11
State,Maharashtra,Non-Custodial,Endanger life of Women,3
State,Manipur,Non-Custodial,Endanger life of Women,0
State,Meghalaya,Non-Custodial,Endanger life of Women,2
State,Mizoram,Non-Custodial,Endanger life of Women,0
State,Nagaland,Non-Custodial,Endanger life of Women,0
State,Odisha,Non-Custodial,Endanger life of Women,0
State,Punjab,Non-Custodial,Endanger life of Women,0
State,Rajasthan,Non-Custodial,Endanger life of Women,6
State,Sikkim,Non-Custodial,Endanger life of Women,0
State,Tamil Nadu,Non-Custodial,Endanger life of Women,0
State,Telangana,Non-Custodial,Endanger life of Women,1
State,Tripura,Non-Custodial,Endanger life of Women,0
State,Uttar Pradesh,Non-Custodial,Endanger life of Women,0
State,Uttarakhand,Non-Custodial,Endanger life of Women,0
State,West Bengal,Non-Custodial,Endanger life of Women,1
UT,Andaman & Nicobar Islands,Non-Custodial,Endanger life of Women,0
UT,Chandigarh,Non-Custodial,Endanger life of Women,0
UT,Dadra & Nagar Haveli,Non-Custodial,Endanger life of Women,0
UT,Daman & Diu,Non-Custodial,Endanger life of Women,0
UT,Delhi,Non-Custodial,Endanger life of Women,0
UT,Lakshadweep,Non-Custodial,Endanger life of Women,0
UT,Puducherry,Non-Custodial,Endanger life of Women,0
State,Andhra Pradesh,Non-Custodial,Repeated on same women,98
State,Arunachal Pradesh,Non-Custodial,Repeated on same women,2
State,Assam,Non-Custodial,Repeated on same women,0
State,Bihar,Non-Custodial,Repeated on same women,0
State,Chhattisgarh,Non-Custodial,Repeated on same women,31
State,Goa,Non-Custodial,Repeated on same women,1
State,Gujarat,Non-Custodial,Repeated on same women,62
State,Haryana,Non-Custodial,Repeated on same women,308
State,Himachal Pradesh,Non-Custodial,Repeated on same women,1
State,Jammu & Kashmir,Non-Custodial,Repeated on same women,0
State,Jharkhand,Non-Custodial,Repeated on same women,25
State,Karnataka,Non-Custodial,Repeated on same women,13
State,Kerala,Non-Custodial,Repeated on same women,318
State,Madhya Pradesh,Non-Custodial,Repeated on same women,748
State,Maharashtra,Non-Custodial,Repeated on same women,343
State,Manipur,Non-Custodial,Repeated on same women,0
State,Meghalaya,Non-Custodial,Repeated on same women,0
State,Mizoram,Non-Custodial,Repeated on same women,0
State,Nagaland,Non-Custodial,Repeated on same women,0
State,Odisha,Non-Custodial,Repeated on same women,72
State,Punjab,Non-Custodial,Repeated on same women,5
State,Rajasthan,Non-Custodial,Repeated on same women,160
State,Sikkim,Non-Custodial,Repeated on same women,0
State,Tamil Nadu,Non-Custodial,Repeated on same women,0
State,Telangana,Non-Custodial,Repeated on same women,132
State,Tripura,Non-Custodial,Repeated on same women,2
State,Uttar Pradesh,Non-Custodial,Repeated on same women,0
State,Uttarakhand,Non-Custodial,Repeated on same women,21
State,West Bengal,Non-Custodial,Repeated on same women,4
UT,Andaman & Nicobar Islands,Non-Custodial,Repeated on same women,0
UT,Chandigarh,Non-Custodial,Repeated on same women,12
UT,Dadra & Nagar Haveli,Non-Custodial,Repeated on same women,0
UT,Daman & Diu,Non-Custodial,Repeated on same women,0
UT,Delhi,Non-Custodial,Repeated on same women,15
UT,Lakshadweep,Non-Custodial,Repeated on same women,0
UT,Puducherry,Non-Custodial,Repeated on same women,0
State,Andhra Pradesh,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),15
State,Arunachal Pradesh,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),0
State,Assam,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),0
State,Bihar,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),0
State,Chhattisgarh,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),0
State,Goa,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),1
State,Gujarat,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),0
State,Haryana,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),0
State,Himachal Pradesh,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),2
State,Jammu & Kashmir,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),0
State,Jharkhand,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),11
State,Karnataka,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),1
State,Kerala,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),35
State,Madhya Pradesh,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),6
State,Maharashtra,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),4
State,Manipur,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),0
State,Meghalaya,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),0
State,Mizoram,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),5
State,Nagaland,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),0
State,Odisha,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),37
State,Punjab,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),9
State,Rajasthan,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),14
State,Sikkim,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),0
State,Tamil Nadu,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),0
State,Telangana,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),1
State,Tripura,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),0
State,Uttar Pradesh,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),0
State,Uttarakhand,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),19
State,West Bengal,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),0
UT,Andaman & Nicobar Islands,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),1
UT,Chandigarh,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),18
UT,Dadra & Nagar Haveli,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),0
UT,Daman & Diu,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),0
UT,Delhi,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),2
UT,Lakshadweep,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),0
UT,Puducherry,Penalties & Legal Provisions,Punishment upto 20 years extended to life (Below 16 Yrs),0
State,Andhra Pradesh,Penalties & Legal Provisions,Punishment for causing Death,0
State,Arunachal Pradesh,Penalties & Legal Provisions,Punishment for causing Death,0
State,Assam,Penalties & Legal Provisions,Punishment for causing Death,1
State,Bihar,Penalties & Legal Provisions,Punishment for causing Death,0
State,Chhattisgarh,Penalties & Legal Provisions,Punishment for causing Death,0
State,Goa,Penalties & Legal Provisions,Punishment for causing Death,0
State,Gujarat,Penalties & Legal Provisions,Punishment for causing Death,0
State,Haryana,Penalties & Legal Provisions,Punishment for causing Death,2
State,Himachal Pradesh,Penalties & Legal Provisions,Punishment for causing Death,0
State,Jammu & Kashmir,Penalties & Legal Provisions,Punishment for causing Death,0
State,Jharkhand,Penalties & Legal Provisions,Punishment for causing Death,0
State,Karnataka,Penalties & Legal Provisions,Punishment for causing Death,0
State,Kerala,Penalties & Legal Provisions,Punishment for causing Death,1
State,Madhya Pradesh,Penalties & Legal Provisions,Punishment for causing Death,0
State,Maharashtra,Penalties & Legal Provisions,Punishment for causing Death,10
State,Manipur,Penalties & Legal Provisions,Punishment for causing Death,0
State,Meghalaya,Penalties & Legal Provisions,Punishment for causing Death,0
State,Mizoram,Penalties & Legal Provisions,Punishment for causing Death,0
State,Nagaland,Penalties & Legal Provisions,Punishment for causing Death,0
State,Odisha,Penalties & Legal Provisions,Punishment for causing Death,11
State,Punjab,Penalties & Legal Provisions,Punishment for causing Death,0
State,Rajasthan,Penalties & Legal Provisions,Punishment for causing Death,0
State,Sikkim,Penalties & Legal Provisions,Punishment for causing Death,0
State,Tamil Nadu,Penalties & Legal Provisions,Punishment for causing Death,0
State,Telangana,Penalties & Legal Provisions,Punishment for causing Death,0
State,Tripura,Penalties & Legal Provisions,Punishment for causing Death,0
State,Uttar Pradesh,Penalties & Legal Provisions,Punishment for causing Death,1
State,Uttarakhand,Penalties & Legal Provisions,Punishment for causing Death,0
State,West Bengal,Penalties & Legal Provisions,Punishment for causing Death,0
UT,Andaman & Nicobar Islands,Penalties & Legal Provisions,Punishment for causing Death,0
UT,Chandigarh,Penalties & Legal Provisions,Punishment for causing Death,0
UT,Dadra & Nagar Haveli,Penalties & Legal Provisions,Punishment for causing Death,0
UT,Daman & Diu,Penalties & Legal Provisions,Punishment for causing Death,0
UT,Delhi,Penalties & Legal Provisions,Punishment for causing Death,1
UT,Lakshadweep,Penalties & Legal Provisions,Punishment for causing Death,0
UT,Puducherry,Penalties & Legal Provisions,Punishment for causing Death,0
State,Andhra Pradesh,Penalties & Legal Provisions,Separated husband,0
State,Arunachal Pradesh,Penalties & Legal Provisions,Separated husband,1
State,Assam,Penalties & Legal Provisions,Separated husband,1
State,Bihar,Penalties & Legal Provisions,Separated husband,0
State,Chhattisgarh,Penalties & Legal Provisions,Separated husband,0
State,Goa,Penalties & Legal Provisions,Separated husband,0
State,Gujarat,Penalties & Legal Provisions,Separated husband,0
State,Haryana,Penalties & Legal Provisions,Separated husband,4
State,Himachal Pradesh,Penalties & Legal Provisions,Separated husband,0
State,Jammu & Kashmir,Penalties & Legal Provisions,Separated husband,0
State,Jharkhand,Penalties & Legal Provisions,Separated husband,0
State,Karnataka,Penalties & Legal Provisions,Separated husband,0
State,Kerala,Penalties & Legal Provisions,Separated husband,0
State,Madhya Pradesh,Penalties & Legal Provisions,Separated husband,6
State,Maharashtra,Penalties & Legal Provisions,Separated husband,7
State,Manipur,Penalties & Legal Provisions,Separated husband,0
State,Meghalaya,Penalties & Legal Provisions,Separated husband,1
State,Mizoram,Penalties & Legal Provisions,Separated husband,0
State,Nagaland,Penalties & Legal Provisions,Separated husband,0
State,Odisha,Penalties & Legal Provisions,Separated husband,3
State,Punjab,Penalties & Legal Provisions,Separated husband,0
State,Rajasthan,Penalties & Legal Provisions,Separated husband,5
State,Sikkim,Penalties & Legal Provisions,Separated husband,0
State,Tamil Nadu,Penalties & Legal Provisions,Separated husband,1
State,Telangana,Penalties & Legal Provisions,Separated husband,1
State,Tripura,Penalties & Legal Provisions,Separated husband,0
State,Uttar Pradesh,Penalties & Legal Provisions,Separated husband,2
State,Uttarakhand,Penalties & Legal Provisions,Separated husband,0
State,West Bengal,Penalties & Legal Provisions,Separated husband,0
UT,Andaman & Nicobar Islands,Penalties & Legal Provisions,Separated husband,0
UT,Chandigarh,Penalties & Legal Provisions,Separated husband,2
UT,Dadra & Nagar Haveli,Penalties & Legal Provisions,Separated husband,0
UT,Daman & Diu,Penalties & Legal Provisions,Separated husband,0
UT,Delhi,Penalties & Legal Provisions,Separated husband,3
UT,Lakshadweep,Penalties & Legal Provisions,Separated husband,0
UT,Puducherry,Penalties & Legal Provisions,Separated husband,0
State,Andhra Pradesh,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),10
State,Arunachal Pradesh,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
State,Assam,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),1
State,Bihar,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
State,Chhattisgarh,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),3
State,Goa,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
State,Gujarat,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
State,Haryana,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
State,Himachal Pradesh,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),1
State,Jammu & Kashmir,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
State,Jharkhand,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),4
State,Karnataka,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
State,Kerala,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),71
State,Madhya Pradesh,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),10
State,Maharashtra,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),8
State,Manipur,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
State,Meghalaya,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
State,Mizoram,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),13
State,Nagaland,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
State,Odisha,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),6
State,Punjab,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),8
State,Rajasthan,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),11
State,Sikkim,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
State,Tamil Nadu,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),7
State,Telangana,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
State,Tripura,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
State,Uttar Pradesh,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
State,Uttarakhand,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),6
State,West Bengal,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
UT,Andaman & Nicobar Islands,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),1
UT,Chandigarh,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),10
UT,Dadra & Nagar Haveli,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
UT,Daman & Diu,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
UT,Delhi,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
UT,Lakshadweep,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
UT,Puducherry,Aggravated & Gang,Girl Below 16 Yrs (Imprisonment for life till death),0
State,Andhra Pradesh,Non-Custodial,Person in Authority,1
State,Arunachal Pradesh,Non-Custodial,Person in Authority,0
State,Assam,Non-Custodial,Person in Authority,30
State,Bihar,Non-Custodial,Person in Authority,0
State,Chhattisgarh,Non-Custodial,Person in Authority,0
State,Goa,Non-Custodial,Person in Authority,0
State,Gujarat,Non-Custodial,Person in Authority,0
State,Haryana,Non-Custodial,Person in Authority,1
State,Himachal Pradesh,Non-Custodial,Person in Authority,0
State,Jammu & Kashmir,Non-Custodial,Person in Authority,0
State,Jharkhand,Non-Custodial,Person in Authority,2
State,Karnataka,Non-Custodial,Person in Authority,0
State,Kerala,Non-Custodial,Person in Authority,2
State,Madhya Pradesh,Non-Custodial,Person in Authority,3
State,Maharashtra,Non-Custodial,Person in Authority,2
State,Manipur,Non-Custodial,Person in Authority,0
State,Meghalaya,Non-Custodial,Person in Authority,0
State,Mizoram,Non-Custodial,Person in Authority,0
State,Nagaland,Non-Custodial,Person in Authority,0
State,Odisha,Non-Custodial,Person in Authority,1
State,Punjab,Non-Custodial,Person in Authority,0
State,Rajasthan,Non-Custodial,Person in Authority,1
State,Sikkim,Non-Custodial,Person in Authority,0
State,Tamil Nadu,Non-Custodial,Person in Authority,0
State,Telangana,Non-Custodial,Person in Authority,0
State,Tripura,Non-Custodial,Person in Authority,0
State,Uttar Pradesh,Non-Custodial,Person in Authority,0
State,Uttarakhand,Non-Custodial,Person in Authority,0
State,West Bengal,Non-Custodial,Person in Authority,1
UT,Andaman & Nicobar Islands,Non-Custodial,Person in Authority,0
UT,Chandigarh,Non-Custodial,Person in Authority,0
UT,Dadra & Nagar Haveli,Non-Custodial,Person in Authority,0
UT,Daman & Diu,Non-Custodial,Person in Authority,0
UT,Delhi,Non-Custodial,Person in Authority,0
UT,Lakshadweep,Non-Custodial,Person in Authority,0
UT,Puducherry,Non-Custodial,Person in Authority,0
State,Andhra Pradesh,Aggravated & Gang,Gang Incidents,9
State,Arunachal Pradesh,Aggravated & Gang,Gang Incidents,4
State,Assam,Aggravated & Gang,Gang Incidents,25
State,Bihar,Aggravated & Gang,Gang Incidents,14
State,Chhattisgarh,Aggravated & Gang,Gang Incidents,15
State,Goa,Aggravated & Gang,Gang Incidents,2
State,Gujarat,Aggravated & Gang,Gang Incidents,14
State,Haryana,Aggravated & Gang,Gang Incidents,159
State,Himachal Pradesh,Aggravated & Gang,Gang Incidents,4
State,Jammu & Kashmir,Aggravated & Gang,Gang Incidents,0
State,Jharkhand,Aggravated & Gang,Gang Incidents,52
State,Karnataka,Aggravated & Gang,Gang Incidents,7
State,Kerala,Aggravated & Gang,Gang Incidents,7
State,Madhya Pradesh,Aggravated & Gang,Gang Incidents,162
State,Maharashtra,Aggravated & Gang,Gang Incidents,63
State,Manipur,Aggravated & Gang,Gang Incidents,0
State,Meghalaya,Aggravated & Gang,Gang Incidents,5
State,Mizoram,Aggravated & Gang,Gang Incidents,1
State,Nagaland,Aggravated & Gang,Gang Incidents,0
State,Odisha,Aggravated & Gang,Gang Incidents,22
State,Punjab,Aggravated & Gang,Gang Incidents,29
State,Rajasthan,Aggravated & Gang,Gang Incidents,902
State,Sikkim,Aggravated & Gang,Gang Incidents,1
State,Tamil Nadu,Aggravated & Gang,Gang Incidents,1
State,Telangana,Aggravated & Gang,Gang Incidents,14
State,Tripura,Aggravated & Gang,Gang Incidents,6
State,Uttar Pradesh,Aggravated & Gang,Gang Incidents,301
State,Uttarakhand,Aggravated & Gang,Gang Incidents,9
State,West Bengal,Aggravated & Gang,Gang Incidents,55
UT,Andaman & Nicobar Islands,Aggravated & Gang,Gang Incidents,0
UT,Chandigarh,Aggravated & Gang,Gang Incidents,1
UT,Dadra & Nagar Haveli,Aggravated & Gang,Gang Incidents,0
UT,Daman & Diu,Aggravated & Gang,Gang Incidents,0
UT,Delhi,Aggravated & Gang,Gang Incidents,47
UT,Lakshadweep,Aggravated & Gang,Gang Incidents,0
UT,Puducherry,Aggravated & Gang,Gang Incidents,0
State,Andhra Pradesh,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),2
State,Arunachal Pradesh,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Assam,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Bihar,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Chhattisgarh,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Goa,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Gujarat,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Haryana,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Himachal Pradesh,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Jammu & Kashmir,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Jharkhand,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),1
State,Karnataka,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Kerala,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),3
State,Madhya Pradesh,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),1
State,Maharashtra,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Manipur,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Meghalaya,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Mizoram,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Nagaland,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Odisha,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Punjab,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),2
State,Rajasthan,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),31
State,Sikkim,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Tamil Nadu,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Telangana,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Tripura,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Uttar Pradesh,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Uttarakhand,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),4
State,West Bengal,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
UT,Andaman & Nicobar Islands,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),1
UT,Chandigarh,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),2
UT,Dadra & Nagar Haveli,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
UT,Daman & Diu,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
UT,Delhi,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
UT,Lakshadweep,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
UT,Puducherry,Aggravated & Gang,Girl Below 12 Yrs (Imprisonment for life till death),0
State,Andhra Pradesh,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Arunachal Pradesh,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Assam,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Bihar,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Chhattisgarh,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Goa,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Gujarat,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Haryana,Penalties & Legal Provisions,Punishment for Repeat offenders,49
State,Himachal Pradesh,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Jammu & Kashmir,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Jharkhand,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Karnataka,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Kerala,Penalties & Legal Provisions,Punishment for Repeat offenders,1
State,Madhya Pradesh,Penalties & Legal Provisions,Punishment for Repeat offenders,52
State,Maharashtra,Penalties & Legal Provisions,Punishment for Repeat offenders,1
State,Manipur,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Meghalaya,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Mizoram,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Nagaland,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Odisha,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Punjab,Penalties & Legal Provisions,Punishment for Repeat offenders,1
State,Rajasthan,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Sikkim,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Tamil Nadu,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Telangana,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Tripura,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Uttar Pradesh,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,Uttarakhand,Penalties & Legal Provisions,Punishment for Repeat offenders,0
State,West Bengal,Penalties & Legal Provisions,Punishment for Repeat offenders,0
UT,Andaman & Nicobar Islands,Penalties & Legal Provisions,Punishment for Repeat offenders,0
UT,Chandigarh,Penalties & Legal Provisions,Punishment for Repeat offenders,0
UT,Dadra & Nagar Haveli,Penalties & Legal Provisions,Punishment for Repeat offenders,0
UT,Daman & Diu,Penalties & Legal Provisions,Punishment for Repeat offenders,0
UT,Delhi,Penalties & Legal Provisions,Punishment for Repeat offenders,0
UT,Lakshadweep,Penalties & Legal Provisions,Punishment for Repeat offenders,0
UT,Puducherry,Penalties & Legal Provisions,Punishment for Repeat offenders,0
