CRIME HEAD,year,cases
Importation of Girls from Foreign Country,2017,5
Immoral Traffic (P) Act,2017,2127
Dowry Prohibition Act,2017,10189
Indecent Representation of Women (P) Act,2017,25
Rape,2018,33356
Kidnapping and Abduction of Women & Girls,2018,72751
Dowry Deaths,2018,7167
Assault on women with intent to outrage her modesty,2018,89097
Insult to the modesty of Women,2018,6992
Cruelty by Husband or his relatives,2018,103272
Importation of Girls from Foreign Country,2018,4
Immoral Traffic (P) Act,2018,1882
Dowry Prohibition Act,2018,12826
Indecent Representation of Women (P) Act,2018,22
Rape,2019,32033
Kidnapping and Abduction of Women & Girls,2019,72780
Dowry Deaths,2019,7115
Assault on women with intent to outrage her modesty,2019,88367
Insult to the modesty of Women,2019,6939
Cruelty by Husband or his relatives,2019,125298
Importation of Girls from Foreign Country,2019,3
Immoral Traffic (P) Act,2019,1645
Dowry Prohibition Act,2019,13297
Indecent Representation of Women (P) Act,2019,23
Rape,2020,28046
Kidnapping and Abduction of Women & Girls,2020,62300
Dowry Deaths,2020,6966
Assault on women with intent to outrage her modesty,2020,85392
Insult to the modesty of Women,2020,7065
Cruelty by Husband or his relatives,2020,111549
Importation of Girls from Foreign Country,2020,1
Immoral Traffic (P) Act,2020,1294
Dowry Prohibition Act,2020,10366
Indecent Representation of Women (P) Act,2020,12
Rape,2021,31677
Kidnapping and Abduction of Women & Girls,2021,75369
Dowry Deaths,2021,6753
Assault on women with intent to outrage her modesty,2021,89200
Insult to the modesty of Women,2021,7788
Cruelty by Husband or his relatives,2021,136234
Importation of Girls from Foreign Country,2021,2
Immoral Traffic (P) Act,2021,1678
Dowry Prohibition Act,2021,13568
Indecent Representation of Women (P) Act,2021,28
Rape,2022,31516
Kidnapping and Abduction of Women & Girls,2022,85310
Dowry Deaths,2022,6450
Assault on women with intent to outrage her modesty,2022,83344
Insult to the modesty of Women,2022,8972
Cruelty by Husband or his relatives,2022,140019
Importation of Girls from Foreign Country,2022,1
Immoral Traffic (P) Act,2022,1497
Dowry Prohibition Act,2022,13479
Indecent Representation of Women (P) Act,2022,28
