Year,State_UT,Is_Detailed_Subcategory,Count,Crime_Head_Standardized,Crime_Head_Subcategory
2001,"Dadra & Nagar Haveli (pre-2020, separate UT)",False,0.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,"Dadra & Nagar Haveli (pre-2020, separate UT)",False,2.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,"Dadra & Nagar Haveli (pre-2020, separate UT)",False,6.0,Rape & Attempted Rape,Rape (General/Other)
2001,"Daman & Diu (pre-2020, separate UT)",False,0.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,"Daman & Diu (pre-2020, separate UT)",False,4.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,"Daman & Diu (pre-2020, separate UT)",False,0.0,Cruelty & Dowry Offenses,Dowry Death
2001,"Daman & Diu (pre-2020, separate UT)",False,3.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,"Daman & Diu (pre-2020, separate UT)",False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,"Daman & Diu (pre-2020, separate UT)",False,0.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,"Daman & Diu (pre-2020, separate UT)",False,3.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,"Daman & Diu (pre-2020, separate UT)",False,0.0,Rape & Attempted Rape,Rape (General/Other)
2001,Delhi,False,502.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Delhi,False,138.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Delhi,False,113.0,Cruelty & Dowry Offenses,Dowry Death
2001,Delhi,False,95.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Delhi,False,1.0,Special & Local Laws,Indecent Representation of Women Act
2001,Delhi,False,90.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Delhi,False,964.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Delhi,False,381.0,Rape & Attempted Rape,Rape (General/Other)
2001,Goa,False,17.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Goa,False,11.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Goa,False,2.0,Cruelty & Dowry Offenses,Dowry Death
2001,Goa,False,28.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Goa,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Goa,False,7.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Goa,False,6.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Goa,False,12.0,Rape & Attempted Rape,Rape (General/Other)
2001,Gujarat,False,756.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Gujarat,False,3667.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Gujarat,False,67.0,Cruelty & Dowry Offenses,Dowry Death
2001,Gujarat,False,61.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Gujarat,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Gujarat,False,111.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Gujarat,False,857.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Gujarat,False,286.0,Rape & Attempted Rape,Rape (General/Other)
2001,Haryana,False,478.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Haryana,False,1513.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Haryana,False,285.0,Cruelty & Dowry Offenses,Dowry Death
2001,Haryana,False,21.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Haryana,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Haryana,False,401.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Haryana,False,297.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Haryana,False,398.0,Rape & Attempted Rape,Rape (General/Other)
2001,Himachal Pradesh,False,310.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Himachal Pradesh,False,317.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Himachal Pradesh,False,10.0,Cruelty & Dowry Offenses,Dowry Death
2001,Himachal Pradesh,False,1.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Himachal Pradesh,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Himachal Pradesh,False,14.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Himachal Pradesh,False,105.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Himachal Pradesh,False,124.0,Rape & Attempted Rape,Rape (General/Other)
2001,Jammu & Kashmir,False,622.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Jammu & Kashmir,False,50.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Jammu & Kashmir,False,13.0,Cruelty & Dowry Offenses,Dowry Death
2001,Jammu & Kashmir,False,7.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Jammu & Kashmir,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Jammu & Kashmir,False,288.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Jammu & Kashmir,False,504.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Jammu & Kashmir,False,169.0,Rape & Attempted Rape,Rape (General/Other)
2001,Jharkhand,False,297.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Jharkhand,False,484.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Jharkhand,False,217.0,Cruelty & Dowry Offenses,Dowry Death
2001,Jharkhand,False,3.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Jharkhand,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Jharkhand,False,5.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Jharkhand,False,279.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Jharkhand,False,567.0,Rape & Attempted Rape,Rape (General/Other)
2001,Karnataka,False,1665.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Karnataka,False,1755.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Karnataka,False,220.0,Cruelty & Dowry Offenses,Dowry Death
2001,Karnataka,False,1356.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Karnataka,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Karnataka,False,81.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Karnataka,False,271.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Karnataka,False,293.0,Rape & Attempted Rape,Rape (General/Other)
2001,Kerala,False,1942.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Kerala,False,2561.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Kerala,False,27.0,Cruelty & Dowry Offenses,Dowry Death
2001,Kerala,False,132.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Kerala,False,42.0,Special & Local Laws,Indecent Representation of Women Act
2001,Kerala,False,81.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Kerala,False,97.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Kerala,False,562.0,Rape & Attempted Rape,Rape (General/Other)
2001,Lakshadweep,False,0.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Lakshadweep,False,0.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Lakshadweep,False,0.0,Cruelty & Dowry Offenses,Dowry Death
2001,Lakshadweep,False,0.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Lakshadweep,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Lakshadweep,False,0.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Lakshadweep,False,0.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Lakshadweep,False,0.0,Rape & Attempted Rape,Rape (General/Other)
2001,Madhya Pradesh,False,7063.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Madhya Pradesh,False,2562.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
