city,Crime,person_count,Arrested_Gender
Faridabad,Persons Arrested in Cases Registered during the year,0,Transgender
Ghaziabad,Persons Arrested in Cases Registered during the year,0,Transgender
Gwalior,Persons Arrested in Cases Registered during the year,0,Transgender
Hyderabad,Persons Arrested in Cases Registered during the year,0,Transgender
Indore,Persons Arrested in Cases Registered during the year,1,Transgender
Jabalpur,Persons Arrested in Cases Registered during the year,0,Transgender
Jaipur,Persons Arrested in Cases Registered during the year,0,Transgender
Jamshedpur,Persons Arrested in Cases Registered during the year,0,Transgender
Jodhpur,Persons Arrested in Cases Registered during the year,0,Transgender
Kannur,Persons Arrested in Cases Registered during the year,0,Transgender
Kanpur,Persons Arrested in Cases Registered during the year,0,Transgender
Kochi,Persons Arrested in Cases Registered during the year,0,Transgender
Kolkata,Persons Arrested in Cases Registered during the year,0,Transgender
Kollam,Persons Arrested in Cases Registered during the year,0,Transgender
Kota,Persons Arrested in Cases Registered during the year,0,Transgender
Kozhikode,Persons Arrested in Cases Registered during the year,0,Transgender
Lucknow,Persons Arrested in Cases Registered during the year,0,Transgender
Ludhiana,Persons Arrested in Cases Registered during the year,0,Transgender
Madurai,Persons Arrested in Cases Registered during the year,0,Transgender
Malappuram,Persons Arrested in Cases Registered during the year,0,Transgender
Meerut,Persons Arrested in Cases Registered during the year,0,Transgender
Mumbai,Persons Arrested in Cases Registered during the year,0,Transgender
Nagpur,Persons Arrested in Cases Registered during the year,1,Transgender
Nasik,Persons Arrested in Cases Registered during the year,0,Transgender
Patna,Persons Arrested in Cases Registered during the year,0,Transgender
Prayagraj,Persons Arrested in Cases Registered during the year,0,Transgender
Pune,Persons Arrested in Cases Registered during the year,0,Transgender
Raipur,Persons Arrested in Cases Registered during the year,0,Transgender
Rajkot,Persons Arrested in Cases Registered during the year,0,Transgender
Ranchi,Persons Arrested in Cases Registered during the year,0,Transgender
Srinagar,Persons Arrested in Cases Registered during the year,0,Transgender
Surat,Persons Arrested in Cases Registered during the year,0,Transgender
Thiruvananthapuram,Persons Arrested in Cases Registered during the year,0,Transgender
Thrissur,Persons Arrested in Cases Registered during the year,0,Transgender
Tiruchirapalli,Persons Arrested in Cases Registered during the year,0,Transgender
Vadodara,Persons Arrested in Cases Registered during the year,0,Transgender
Varanasi,Persons Arrested in Cases Registered during the year,0,Transgender
Vasai Virar,Persons Arrested in Cases Registered during the year,0,Transgender
Vijayawada,Persons Arrested in Cases Registered during the year,0,Transgender
Vishakhapatnam,Persons Arrested in Cases Registered during the year,0,Transgender
Agra,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Ahmedabad,By Police (including Persons released before trial u/s 169 Cr.PC),31,Male
Amritsar,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Asansol,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Aurangabad,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Bengaluru,By Police (including Persons released before trial u/s 169 Cr.PC),1013,Male
Bhopal,By Police (including Persons released before trial u/s 169 Cr.PC),20,Male
Chandigarh City,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Chennai,By Police (including Persons released before trial u/s 169 Cr.PC),21,Male
Coimbatore,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Delhi City,By Police (including Persons released before trial u/s 169 Cr.PC),903,Male
Dhanbad,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Durg-Bhilainagar,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Faridabad,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Ghaziabad,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Gwalior,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Hyderabad,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Indore,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Jabalpur,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Jaipur,By Police (including Persons released before trial u/s 169 Cr.PC),63,Male
Jamshedpur,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Jodhpur,By Police (including Persons released before trial u/s 169 Cr.PC),22,Male
Kannur,By Police (including Persons released before trial u/s 169 Cr.PC),73,Male
Kanpur,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Kochi,By Police (including Persons released before trial u/s 169 Cr.PC),43,Male
Kolkata,By Police (including Persons released before trial u/s 169 Cr.PC),7,Male
Kollam,By Police (including Persons released before trial u/s 169 Cr.PC),1,Male
Kota,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Kozhikode,By Police (including Persons released before trial u/s 169 Cr.PC),426,Male
Lucknow,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Ludhiana,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Madurai,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Malappuram,By Police (including Persons released before trial u/s 169 Cr.PC),24,Male
Meerut,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Mumbai,By Police (including Persons released before trial u/s 169 Cr.PC),16,Male
Nagpur,By Police (including Persons released before trial u/s 169 Cr.PC),154,Male
Nasik,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Patna,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Prayagraj,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Pune,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Raipur,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Rajkot,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Ranchi,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Srinagar,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Surat,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Thiruvananthapuram,By Police (including Persons released before trial u/s 169 Cr.PC),118,Male
Thrissur,By Police (including Persons released before trial u/s 169 Cr.PC),200,Male
Tiruchirapalli,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Vadodara,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Varanasi,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Vasai Virar,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Vijayawada,By Police (including Persons released before trial u/s 169 Cr.PC),0,Male
Vishakhapatnam,By Police (including Persons released before trial u/s 169 Cr.PC),14,Male
Agra,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Ahmedabad,By Police (including Persons released before trial u/s 169 Cr.PC),18,Female
Amritsar,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Asansol,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Aurangabad,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Bengaluru,By Police (including Persons released before trial u/s 169 Cr.PC),493,Female
Bhopal,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Chandigarh City,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Chennai,By Police (including Persons released before trial u/s 169 Cr.PC),1,Female
Coimbatore,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Delhi City,By Police (including Persons released before trial u/s 169 Cr.PC),303,Female
Dhanbad,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Durg-Bhilainagar,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Faridabad,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Ghaziabad,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Gwalior,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Hyderabad,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Indore,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Jabalpur,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Jaipur,By Police (including Persons released before trial u/s 169 Cr.PC),2,Female
Jamshedpur,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Jodhpur,By Police (including Persons released before trial u/s 169 Cr.PC),6,Female
Kannur,By Police (including Persons released before trial u/s 169 Cr.PC),24,Female
Kanpur,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Kochi,By Police (including Persons released before trial u/s 169 Cr.PC),1,Female
Kolkata,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Kollam,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Kota,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Kozhikode,By Police (including Persons released before trial u/s 169 Cr.PC),57,Female
Lucknow,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Ludhiana,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Madurai,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Malappuram,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Meerut,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Mumbai,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Nagpur,By Police (including Persons released before trial u/s 169 Cr.PC),104,Female
Nasik,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Patna,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Prayagraj,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Pune,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Raipur,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Rajkot,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Ranchi,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Srinagar,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Surat,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Thiruvananthapuram,By Police (including Persons released before trial u/s 169 Cr.PC),20,Female
Thrissur,By Police (including Persons released before trial u/s 169 Cr.PC),82,Female
Tiruchirapalli,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Vadodara,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Varanasi,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Vasai Virar,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Vijayawada,By Police (including Persons released before trial u/s 169 Cr.PC),0,Female
Vishakhapatnam,By Police (including Persons released before trial u/s 169 Cr.PC),4,Female
Agra,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Ahmedabad,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Amritsar,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Asansol,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Aurangabad,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Bengaluru,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Bhopal,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Chandigarh City,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Chennai,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Coimbatore,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Delhi City,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Dhanbad,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Durg-Bhilainagar,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Faridabad,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Ghaziabad,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Gwalior,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Hyderabad,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Indore,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Jabalpur,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Jaipur,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Jamshedpur,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Jodhpur,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Kannur,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Kanpur,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Kochi,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Kolkata,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Kollam,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Kota,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Kozhikode,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Lucknow,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Ludhiana,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Madurai,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Malappuram,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Meerut,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Mumbai,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Nagpur,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Nasik,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Patna,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Prayagraj,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Pune,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Raipur,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Rajkot,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Ranchi,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Srinagar,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Surat,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Thiruvananthapuram,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Thrissur,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Tiruchirapalli,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Vadodara,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Varanasi,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Vasai Virar,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Vijayawada,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Vishakhapatnam,By Police (including Persons released before trial u/s 169 Cr.PC),0,Transgender
Agra,By Court,0,Male
Ahmedabad,By Court,1315,Male
Amritsar,By Court,191,Male
Asansol,By Court,0,Male
Aurangabad,By Court,402,Male
Bengaluru,By Court,3768,Male
Bhopal,By Court,191,Male
Chandigarh City,By Court,190,Male
Chennai,By Court,523,Male
Coimbatore,By Court,271,Male
Delhi City,By Court,1960,Male
Dhanbad,By Court,0,Male
Durg-Bhilainagar,By Court,0,Male
Faridabad,By Court,507,Male
Ghaziabad,By Court,0,Male
Gwalior,By Court,378,Male
Hyderabad,By Court,525,Male
Indore,By Court,0,Male
Jabalpur,By Court,0,Male
Jaipur,By Court,2149,Male
Jamshedpur,By Court,11,Male
Jodhpur,By Court,383,Male
Kannur,By Court,494,Male
Kanpur,By Court,0,Male
Kochi,By Court,602,Male
Kolkata,By Court,19,Male
Kollam,By Court,750,Male
Kota,By Court,415,Male
Kozhikode,By Court,344,Male
Lucknow,By Court,0,Male
Ludhiana,By Court,113,Male
Madurai,By Court,356,Male
Malappuram,By Court,178,Male
Meerut,By Court,0,Male
Mumbai,By Court,2741,Male
Nagpur,By Court,742,Male
Nasik,By Court,0,Male
Patna,By Court,326,Male
Prayagraj,By Court,0,Male
Pune,By Court,829,Male
Raipur,By Court,0,Male
Rajkot,By Court,133,Male
Ranchi,By Court,0,Male
Srinagar,By Court,456,Male
Surat,By Court,1430,Male
Thiruvananthapuram,By Court,519,Male
Thrissur,By Court,275,Male
Tiruchirapalli,By Court,0,Male
Vadodara,By Court,441,Male
Varanasi,By Court,0,Male
Vasai Virar,By Court,452,Male
Vijayawada,By Court,259,Male
Vishakhapatnam,By Court,88,Male
Agra,By Court,0,Female
Ahmedabad,By Court,346,Female
Amritsar,By Court,53,Female
Asansol,By Court,0,Female
Aurangabad,By Court,48,Female
Bengaluru,By Court,1423,Female
Bhopal,By Court,15,Female
Chandigarh City,By Court,29,Female
Chennai,By Court,73,Female
Coimbatore,By Court,45,Female
Delhi City,By Court,409,Female
Dhanbad,By Court,0,Female
Durg-Bhilainagar,By Court,0,Female
Faridabad,By Court,144,Female
Ghaziabad,By Court,0,Female
Gwalior,By Court,24,Female
Hyderabad,By Court,23,Female
Indore,By Court,0,Female
Jabalpur,By Court,0,Female
Jaipur,By Court,132,Female
Jamshedpur,By Court,0,Female
Jodhpur,By Court,39,Female
Kannur,By Court,99,Female
Kanpur,By Court,0,Female
Kochi,By Court,22,Female
Kolkata,By Court,0,Female
Kollam,By Court,110,Female
Kota,By Court,23,Female
Kozhikode,By Court,5,Female
Lucknow,By Court,0,Female
Ludhiana,By Court,15,Female
Madurai,By Court,120,Female
Malappuram,By Court,7,Female
Meerut,By Court,0,Female
Mumbai,By Court,229,Female
Nagpur,By Court,152,Female
Nasik,By Court,0,Female
Patna,By Court,33,Female
Prayagraj,By Court,0,Female
Pune,By Court,141,Female
Raipur,By Court,0,Female
Rajkot,By Court,23,Female
Ranchi,By Court,0,Female
Srinagar,By Court,100,Female
Surat,By Court,612,Female
Thiruvananthapuram,By Court,42,Female
Thrissur,By Court,20,Female
Tiruchirapalli,By Court,0,Female
Vadodara,By Court,169,Female
Varanasi,By Court,0,Female
Vasai Virar,By Court,58,Female
Vijayawada,By Court,13,Female
Vishakhapatnam,By Court,8,Female
Agra,By Court,0,Transgender
Ahmedabad,By Court,0,Transgender
Amritsar,By Court,0,Transgender
Asansol,By Court,0,Transgender
Aurangabad,By Court,0,Transgender
Bengaluru,By Court,0,Transgender
Bhopal,By Court,0,Transgender
Chandigarh City,By Court,0,Transgender
Chennai,By Court,0,Transgender
Coimbatore,By Court,0,Transgender
Delhi City,By Court,0,Transgender
Dhanbad,By Court,0,Transgender
Durg-Bhilainagar,By Court,0,Transgender
Faridabad,By Court,0,Transgender
Ghaziabad,By Court,0,Transgender
Gwalior,By Court,0,Transgender
Hyderabad,By Court,0,Transgender
Indore,By Court,0,Transgender
Jabalpur,By Court,0,Transgender
Jaipur,By Court,0,Transgender
Jamshedpur,By Court,0,Transgender
Jodhpur,By Court,0,Transgender
Kannur,By Court,0,Transgender
Kanpur,By Court,0,Transgender
Kochi,By Court,0,Transgender
Kolkata,By Court,0,Transgender
Kollam,By Court,0,Transgender
Kota,By Court,0,Transgender
Kozhikode,By Court,0,Transgender
Lucknow,By Court,0,Transgender
Ludhiana,By Court,0,Transgender
Madurai,By Court,0,Transgender
Malappuram,By Court,0,Transgender
Meerut,By Court,0,Transgender
Mumbai,By Court,0,Transgender
Nagpur,By Court,1,Transgender
Nasik,By Court,0,Transgender
Patna,By Court,0,Transgender
Prayagraj,By Court,0,Transgender
Pune,By Court,0,Transgender
Raipur,By Court,0,Transgender
Rajkot,By Court,0,Transgender
Ranchi,By Court,0,Transgender
Srinagar,By Court,0,Transgender
Surat,By Court,0,Transgender
Thiruvananthapuram,By Court,0,Transgender
Thrissur,By Court,0,Transgender
Tiruchirapalli,By Court,0,Transgender
Vadodara,By Court,0,Transgender
Varanasi,By Court,0,Transgender
Vasai Virar,By Court,0,Transgender
Vijayawada,By Court,0,Transgender
Vishakhapatnam,By Court,0,Transgender
Agra,Persons Arrested and Chargesheeted,501,Male
Ahmedabad,Persons Arrested and Chargesheeted,1394,Male
Amritsar,Persons Arrested and Chargesheeted,341,Male
Asansol,Persons Arrested and Chargesheeted,933,Male
Aurangabad,Persons Arrested and Chargesheeted,358,Male
Bengaluru,Persons Arrested and Chargesheeted,4254,Male
Bhopal,Persons Arrested and Chargesheeted,2180,Male
Chandigarh City,Persons Arrested and Chargesheeted,353,Male
Chennai,Persons Arrested and Chargesheeted,636,Male
Coimbatore,Persons Arrested and Chargesheeted,324,Male
Delhi City,Persons Arrested and Chargesheeted,10807,Male
Dhanbad,Persons Arrested and Chargesheeted,104,Male
Durg-Bhilainagar,Persons Arrested and Chargesheeted,500,Male
Faridabad,Persons Arrested and Chargesheeted,950,Male
Ghaziabad,Persons Arrested and Chargesheeted,629,Male
Gwalior,Persons Arrested and Chargesheeted,501,Male
Hyderabad,Persons Arrested and Chargesheeted,611,Male
Indore,Persons Arrested and Chargesheeted,625,Male
Jabalpur,Persons Arrested and Chargesheeted,252,Male
Jaipur,Persons Arrested and Chargesheeted,2087,Male
Jamshedpur,Persons Arrested and Chargesheeted,337,Male
Jodhpur,Persons Arrested and Chargesheeted,862,Male
Kannur,Persons Arrested and Chargesheeted,487,Male
Kanpur,Persons Arrested and Chargesheeted,3315,Male
Kochi,Persons Arrested and Chargesheeted,583,Male
Kolkata,Persons Arrested and Chargesheeted,1482,Male
Kollam,Persons Arrested and Chargesheeted,692,Male
Kota,Persons Arrested and Chargesheeted,448,Male
Kozhikode,Persons Arrested and Chargesheeted,691,Male
Lucknow,Persons Arrested and Chargesheeted,731,Male
Ludhiana,Persons Arrested and Chargesheeted,502,Male
Madurai,Persons Arrested and Chargesheeted,231,Male
Malappuram,Persons Arrested and Chargesheeted,282,Male
Meerut,Persons Arrested and Chargesheeted,1592,Male
Mumbai,Persons Arrested and Chargesheeted,5395,Male
Nagpur,Persons Arrested and Chargesheeted,1204,Male
Nasik,Persons Arrested and Chargesheeted,377,Male
Patna,Persons Arrested and Chargesheeted,1291,Male
Prayagraj,Persons Arrested and Chargesheeted,1201,Male
Pune,Persons Arrested and Chargesheeted,1914,Male
Raipur,Persons Arrested and Chargesheeted,705,Male
Rajkot,Persons Arrested and Chargesheeted,239,Male
Ranchi,Persons Arrested and Chargesheeted,506,Male
Srinagar,Persons Arrested and Chargesheeted,447,Male
Surat,Persons Arrested and Chargesheeted,1430,Male
Thiruvananthapuram,Persons Arrested and Chargesheeted,684,Male
Thrissur,Persons Arrested and Chargesheeted,483,Male
Tiruchirapalli,Persons Arrested and Chargesheeted,89,Male
Vadodara,Persons Arrested and Chargesheeted,441,Male
Varanasi,Persons Arrested and Chargesheeted,1352,Male
Vasai Virar,Persons Arrested and Chargesheeted,1062,Male
Vijayawada,Persons Arrested and Chargesheeted,2695,Male
Vishakhapatnam,Persons Arrested and Chargesheeted,958,Male
Agra,Persons Arrested and Chargesheeted,2,Female
Ahmedabad,Persons Arrested and Chargesheeted,364,Female
Amritsar,Persons Arrested and Chargesheeted,60,Female
Asansol,Persons Arrested and Chargesheeted,101,Female
Aurangabad,Persons Arrested and Chargesheeted,35,Female
Bengaluru,Persons Arrested and Chargesheeted,1504,Female
Bhopal,Persons Arrested and Chargesheeted,816,Female
Chandigarh City,Persons Arrested and Chargesheeted,54,Female
Chennai,Persons Arrested and Chargesheeted,94,Female
Coimbatore,Persons Arrested and Chargesheeted,55,Female
Delhi City,Persons Arrested and Chargesheeted,1319,Female
Dhanbad,Persons Arrested and Chargesheeted,0,Female
Durg-Bhilainagar,Persons Arrested and Chargesheeted,140,Female
Faridabad,Persons Arrested and Chargesheeted,191,Female
Ghaziabad,Persons Arrested and Chargesheeted,0,Female
Gwalior,Persons Arrested and Chargesheeted,31,Female
Hyderabad,Persons Arrested and Chargesheeted,23,Female
Indore,Persons Arrested and Chargesheeted,76,Female
Jabalpur,Persons Arrested and Chargesheeted,15,Female
Jaipur,Persons Arrested and Chargesheeted,99,Female
Jamshedpur,Persons Arrested and Chargesheeted,0,Female
Jodhpur,Persons Arrested and Chargesheeted,118,Female
Kannur,Persons Arrested and Chargesheeted,107,Female
Kanpur,Persons Arrested and Chargesheeted,27,Female
Kochi,Persons Arrested and Chargesheeted,21,Female
Kolkata,Persons Arrested and Chargesheeted,3,Female
Kollam,Persons Arrested and Chargesheeted,110,Female
Kota,Persons Arrested and Chargesheeted,23,Female
Kozhikode,Persons Arrested and Chargesheeted,56,Female
Lucknow,Persons Arrested and Chargesheeted,3,Female
Ludhiana,Persons Arrested and Chargesheeted,37,Female
Madurai,Persons Arrested and Chargesheeted,44,Female
Malappuram,Persons Arrested and Chargesheeted,19,Female
Meerut,Persons Arrested and Chargesheeted,0,Female
Mumbai,Persons Arrested and Chargesheeted,655,Female
Nagpur,Persons Arrested and Chargesheeted,254,Female
Nasik,Persons Arrested and Chargesheeted,19,Female
Patna,Persons Arrested and Chargesheeted,0,Female
Prayagraj,Persons Arrested and Chargesheeted,54,Female
Pune,Persons Arrested and Chargesheeted,411,Female
Raipur,Persons Arrested and Chargesheeted,50,Female
Rajkot,Persons Arrested and Chargesheeted,24,Female
Ranchi,Persons Arrested and Chargesheeted,0,Female
Srinagar,Persons Arrested and Chargesheeted,100,Female
Surat,Persons Arrested and Chargesheeted,612,Female
Thiruvananthapuram,Persons Arrested and Chargesheeted,56,Female
Thrissur,Persons Arrested and Chargesheeted,102,Female
Tiruchirapalli,Persons Arrested and Chargesheeted,5,Female
Vadodara,Persons Arrested and Chargesheeted,169,Female
Varanasi,Persons Arrested and Chargesheeted,612,Female
Vasai Virar,Persons Arrested and Chargesheeted,144,Female
Vijayawada,Persons Arrested and Chargesheeted,804,Female
Vishakhapatnam,Persons Arrested and Chargesheeted,323,Female
Agra,Persons Arrested and Chargesheeted,0,Transgender
Ahmedabad,Persons Arrested and Chargesheeted,0,Transgender
Amritsar,Persons Arrested and Chargesheeted,0,Transgender
Asansol,Persons Arrested and Chargesheeted,0,Transgender
Aurangabad,Persons Arrested and Chargesheeted,0,Transgender
Bengaluru,Persons Arrested and Chargesheeted,0,Transgender
Bhopal,Persons Arrested and Chargesheeted,0,Transgender
Chandigarh City,Persons Arrested and Chargesheeted,0,Transgender
Chennai,Persons Arrested and Chargesheeted,0,Transgender
Coimbatore,Persons Arrested and Chargesheeted,0,Transgender
Delhi City,Persons Arrested and Chargesheeted,0,Transgender
Dhanbad,Persons Arrested and Chargesheeted,0,Transgender
Durg-Bhilainagar,Persons Arrested and Chargesheeted,0,Transgender
Faridabad,Persons Arrested and Chargesheeted,0,Transgender
Ghaziabad,Persons Arrested and Chargesheeted,0,Transgender
Gwalior,Persons Arrested and Chargesheeted,0,Transgender
Hyderabad,Persons Arrested and Chargesheeted,0,Transgender
Indore,Persons Arrested and Chargesheeted,1,Transgender
Jabalpur,Persons Arrested and Chargesheeted,0,Transgender
Jaipur,Persons Arrested and Chargesheeted,0,Transgender
Jamshedpur,Persons Arrested and Chargesheeted,0,Transgender
Jodhpur,Persons Arrested and Chargesheeted,0,Transgender
Kannur,Persons Arrested and Chargesheeted,0,Transgender
Kanpur,Persons Arrested and Chargesheeted,0,Transgender
Kochi,Persons Arrested and Chargesheeted,0,Transgender
Kolkata,Persons Arrested and Chargesheeted,0,Transgender
Kollam,Persons Arrested and Chargesheeted,0,Transgender
Kota,Persons Arrested and Chargesheeted,0,Transgender
Kozhikode,Persons Arrested and Chargesheeted,0,Transgender
Lucknow,Persons Arrested and Chargesheeted,0,Transgender
Ludhiana,Persons Arrested and Chargesheeted,0,Transgender
Madurai,Persons Arrested and Chargesheeted,0,Transgender
Malappuram,Persons Arrested and Chargesheeted,0,Transgender
Meerut,Persons Arrested and Chargesheeted,0,Transgender
Mumbai,Persons Arrested and Chargesheeted,0,Transgender
Nagpur,Persons Arrested and Chargesheeted,0,Transgender
Nasik,Persons Arrested and Chargesheeted,0,Transgender
Patna,Persons Arrested and Chargesheeted,0,Transgender
Prayagraj,Persons Arrested and Chargesheeted,0,Transgender
Pune,Persons Arrested and Chargesheeted,0,Transgender
Raipur,Persons Arrested and Chargesheeted,0,Transgender
Rajkot,Persons Arrested and Chargesheeted,0,Transgender
Ranchi,Persons Arrested and Chargesheeted,0,Transgender
Srinagar,Persons Arrested and Chargesheeted,0,Transgender
Surat,Persons Arrested and Chargesheeted,0,Transgender
Thiruvananthapuram,Persons Arrested and Chargesheeted,0,Transgender
