city,Crime,person_count,Arrested_Gender
Vijayawada,Notice Issued (Sec. 41 CrPC),790,Female
Vishakhapatnam,Notice Issued (Sec. 41 CrPC),556,Female
Agra,Notice Issued (Sec. 41 CrPC),0,Transgender
Ahmedabad,Notice Issued (Sec. 41 CrPC),0,Transgender
Amritsar,Notice Issued (Sec. 41 CrPC),0,Transgender
Asansol,Notice Issued (Sec. 41 CrPC),0,Transgender
Aurangabad,Notice Issued (Sec. 41 CrPC),0,Transgender
Bengaluru,Notice Issued (Sec. 41 CrPC),0,Transgender
Bhopal,Notice Issued (Sec. 41 CrPC),0,Transgender
Chandigarh City,Notice Issued (Sec. 41 CrPC),0,Transgender
Chennai,Notice Issued (Sec. 41 CrPC),0,Transgender
Coimbatore,Notice Issued (Sec. 41 CrPC),0,Transgender
Delhi City,Notice Issued (Sec. 41 CrPC),0,Transgender
Dhanbad,Notice Issued (Sec. 41 CrPC),0,Transgender
Durg-Bhilainagar,Notice Issued (Sec. 41 CrPC),0,Transgender
Faridabad,Notice Issued (Sec. 41 CrPC),0,Transgender
Ghaziabad,Notice Issued (Sec. 41 CrPC),0,Transgender
Gwalior,Notice Issued (Sec. 41 CrPC),0,Transgender
Hyderabad,Notice Issued (Sec. 41 CrPC),0,Transgender
Indore,Notice Issued (Sec. 41 CrPC),0,Transgender
Jabalpur,Notice Issued (Sec. 41 CrPC),0,Transgender
Jaipur,Notice Issued (Sec. 41 CrPC),0,Transgender
Jamshedpur,Notice Issued (Sec. 41 CrPC),0,Transgender
Jodhpur,Notice Issued (Sec. 41 CrPC),0,Transgender
Kannur,Notice Issued (Sec. 41 CrPC),0,Transgender
Kanpur,Notice Issued (Sec. 41 CrPC),0,Transgender
Kochi,Notice Issued (Sec. 41 CrPC),0,Transgender
Kolkata,Notice Issued (Sec. 41 CrPC),0,Transgender
Kollam,Notice Issued (Sec. 41 CrPC),0,Transgender
Kota,Notice Issued (Sec. 41 CrPC),0,Transgender
Kozhikode,Notice Issued (Sec. 41 CrPC),0,Transgender
Lucknow,Notice Issued (Sec. 41 CrPC),0,Transgender
Ludhiana,Notice Issued (Sec. 41 CrPC),0,Transgender
Madurai,Notice Issued (Sec. 41 CrPC),0,Transgender
Malappuram,Notice Issued (Sec. 41 CrPC),0,Transgender
Meerut,Notice Issued (Sec. 41 CrPC),0,Transgender
Mumbai,Notice Issued (Sec. 41 CrPC),0,Transgender
Nagpur,Notice Issued (Sec. 41 CrPC),0,Transgender
Nasik,Notice Issued (Sec. 41 CrPC),0,Transgender
Patna,Notice Issued (Sec. 41 CrPC),0,Transgender
Prayagraj,Notice Issued (Sec. 41 CrPC),0,Transgender
Pune,Notice Issued (Sec. 41 CrPC),0,Transgender
Raipur,Notice Issued (Sec. 41 CrPC),0,Transgender
Rajkot,Notice Issued (Sec. 41 CrPC),0,Transgender
Ranchi,Notice Issued (Sec. 41 CrPC),0,Transgender
Srinagar,Notice Issued (Sec. 41 CrPC),0,Transgender
Surat,Notice Issued (Sec. 41 CrPC),0,Transgender
Thiruvananthapuram,Notice Issued (Sec. 41 CrPC),0,Transgender
Thrissur,Notice Issued (Sec. 41 CrPC),0,Transgender
Tiruchirapalli,Notice Issued (Sec. 41 CrPC),0,Transgender
Vadodara,Notice Issued (Sec. 41 CrPC),0,Transgender
Varanasi,Notice Issued (Sec. 41 CrPC),0,Transgender
Vasai Virar,Notice Issued (Sec. 41 CrPC),0,Transgender
Vijayawada,Notice Issued (Sec. 41 CrPC),0,Transgender
Vishakhapatnam,Notice Issued (Sec. 41 CrPC),0,Transgender
Agra,Persons Arrested out of Cases Registered from Previous Years,68,Male
Ahmedabad,Persons Arrested out of Cases Registered from Previous Years,220,Male
Amritsar,Persons Arrested out of Cases Registered from Previous Years,324,Male
Asansol,Persons Arrested out of Cases Registered from Previous Years,327,Male
Aurangabad,Persons Arrested out of Cases Registered from Previous Years,127,Male
Bengaluru,Persons Arrested out of Cases Registered from Previous Years,727,Male
Bhopal,Persons Arrested out of Cases Registered from Previous Years,81,Male
Chandigarh City,Persons Arrested out of Cases Registered from Previous Years,76,Male
Chennai,Persons Arrested out of Cases Registered from Previous Years,40,Male
Coimbatore,Persons Arrested out of Cases Registered from Previous Years,10,Male
Delhi City,Persons Arrested out of Cases Registered from Previous Years,4070,Male
Dhanbad,Persons Arrested out of Cases Registered from Previous Years,68,Male
Durg-Bhilainagar,Persons Arrested out of Cases Registered from Previous Years,78,Male
Faridabad,Persons Arrested out of Cases Registered from Previous Years,170,Male
Ghaziabad,Persons Arrested out of Cases Registered from Previous Years,1,Male
Gwalior,Persons Arrested out of Cases Registered from Previous Years,70,Male
Hyderabad,Persons Arrested out of Cases Registered from Previous Years,83,Male
Indore,Persons Arrested out of Cases Registered from Previous Years,108,Male
Jabalpur,Persons Arrested out of Cases Registered from Previous Years,4,Male
Jaipur,Persons Arrested out of Cases Registered from Previous Years,283,Male
Jamshedpur,Persons Arrested out of Cases Registered from Previous Years,51,Male
Jodhpur,Persons Arrested out of Cases Registered from Previous Years,69,Male
Kannur,Persons Arrested out of Cases Registered from Previous Years,106,Male
Kanpur,Persons Arrested out of Cases Registered from Previous Years,1033,Male
Kochi,Persons Arrested out of Cases Registered from Previous Years,150,Male
Kolkata,Persons Arrested out of Cases Registered from Previous Years,423,Male
Kollam,Persons Arrested out of Cases Registered from Previous Years,81,Male
Kota,Persons Arrested out of Cases Registered from Previous Years,82,Male
Kozhikode,Persons Arrested out of Cases Registered from Previous Years,304,Male
Lucknow,Persons Arrested out of Cases Registered from Previous Years,92,Male
Ludhiana,Persons Arrested out of Cases Registered from Previous Years,11,Male
Madurai,Persons Arrested out of Cases Registered from Previous Years,1,Male
Malappuram,Persons Arrested out of Cases Registered from Previous Years,11,Male
Meerut,Persons Arrested out of Cases Registered from Previous Years,198,Male
Mumbai,Persons Arrested out of Cases Registered from Previous Years,2709,Male
Nagpur,Persons Arrested out of Cases Registered from Previous Years,379,Male
Nasik,Persons Arrested out of Cases Registered from Previous Years,74,Male
Patna,Persons Arrested out of Cases Registered from Previous Years,657,Male
Prayagraj,Persons Arrested out of Cases Registered from Previous Years,230,Male
Pune,Persons Arrested out of Cases Registered from Previous Years,463,Male
Raipur,Persons Arrested out of Cases Registered from Previous Years,65,Male
Rajkot,Persons Arrested out of Cases Registered from Previous Years,8,Male
Ranchi,Persons Arrested out of Cases Registered from Previous Years,303,Male
Srinagar,Persons Arrested out of Cases Registered from Previous Years,46,Male
Surat,Persons Arrested out of Cases Registered from Previous Years,14,Male
Thiruvananthapuram,Persons Arrested out of Cases Registered from Previous Years,119,Male
Thrissur,Persons Arrested out of Cases Registered from Previous Years,171,Male
Tiruchirapalli,Persons Arrested out of Cases Registered from Previous Years,50,Male
Vadodara,Persons Arrested out of Cases Registered from Previous Years,33,Male
Varanasi,Persons Arrested out of Cases Registered from Previous Years,0,Male
Vasai Virar,Persons Arrested out of Cases Registered from Previous Years,104,Male
Vijayawada,Persons Arrested out of Cases Registered from Previous Years,81,Male
Vishakhapatnam,Persons Arrested out of Cases Registered from Previous Years,54,Male
Agra,Persons Arrested out of Cases Registered from Previous Years,2,Female
Ahmedabad,Persons Arrested out of Cases Registered from Previous Years,42,Female
Amritsar,Persons Arrested out of Cases Registered from Previous Years,45,Female
Asansol,Persons Arrested out of Cases Registered from Previous Years,43,Female
Aurangabad,Persons Arrested out of Cases Registered from Previous Years,5,Female
Bengaluru,Persons Arrested out of Cases Registered from Previous Years,286,Female
Bhopal,Persons Arrested out of Cases Registered from Previous Years,7,Female
Chandigarh City,Persons Arrested out of Cases Registered from Previous Years,21,Female
Chennai,Persons Arrested out of Cases Registered from Previous Years,3,Female
Coimbatore,Persons Arrested out of Cases Registered from Previous Years,0,Female
Delhi City,Persons Arrested out of Cases Registered from Previous Years,719,Female
Dhanbad,Persons Arrested out of Cases Registered from Previous Years,0,Female
Durg-Bhilainagar,Persons Arrested out of Cases Registered from Previous Years,3,Female
Faridabad,Persons Arrested out of Cases Registered from Previous Years,17,Female
Ghaziabad,Persons Arrested out of Cases Registered from Previous Years,0,Female
Gwalior,Persons Arrested out of Cases Registered from Previous Years,3,Female
Hyderabad,Persons Arrested out of Cases Registered from Previous Years,0,Female
Indore,Persons Arrested out of Cases Registered from Previous Years,16,Female
Jabalpur,Persons Arrested out of Cases Registered from Previous Years,0,Female
Jaipur,Persons Arrested out of Cases Registered from Previous Years,16,Female
Jamshedpur,Persons Arrested out of Cases Registered from Previous Years,0,Female
Jodhpur,Persons Arrested out of Cases Registered from Previous Years,4,Female
Kannur,Persons Arrested out of Cases Registered from Previous Years,11,Female
Kanpur,Persons Arrested out of Cases Registered from Previous Years,16,Female
Kochi,Persons Arrested out of Cases Registered from Previous Years,6,Female
Kolkata,Persons Arrested out of Cases Registered from Previous Years,46,Female
Kollam,Persons Arrested out of Cases Registered from Previous Years,16,Female
Kota,Persons Arrested out of Cases Registered from Previous Years,0,Female
Kozhikode,Persons Arrested out of Cases Registered from Previous Years,5,Female
Lucknow,Persons Arrested out of Cases Registered from Previous Years,1,Female
Ludhiana,Persons Arrested out of Cases Registered from Previous Years,0,Female
Madurai,Persons Arrested out of Cases Registered from Previous Years,0,Female
Malappuram,Persons Arrested out of Cases Registered from Previous Years,0,Female
Meerut,Persons Arrested out of Cases Registered from Previous Years,0,Female
Mumbai,Persons Arrested out of Cases Registered from Previous Years,338,Female
Nagpur,Persons Arrested out of Cases Registered from Previous Years,62,Female
Nasik,Persons Arrested out of Cases Registered from Previous Years,4,Female
Patna,Persons Arrested out of Cases Registered from Previous Years,36,Female
Prayagraj,Persons Arrested out of Cases Registered from Previous Years,18,Female
Pune,Persons Arrested out of Cases Registered from Previous Years,170,Female
Raipur,Persons Arrested out of Cases Registered from Previous Years,5,Female
Rajkot,Persons Arrested out of Cases Registered from Previous Years,0,Female
Ranchi,Persons Arrested out of Cases Registered from Previous Years,0,Female
Srinagar,Persons Arrested out of Cases Registered from Previous Years,14,Female
Surat,Persons Arrested out of Cases Registered from Previous Years,0,Female
Thiruvananthapuram,Persons Arrested out of Cases Registered from Previous Years,6,Female
Thrissur,Persons Arrested out of Cases Registered from Previous Years,56,Female
Tiruchirapalli,Persons Arrested out of Cases Registered from Previous Years,0,Female
Vadodara,Persons Arrested out of Cases Registered from Previous Years,6,Female
Varanasi,Persons Arrested out of Cases Registered from Previous Years,0,Female
Vasai Virar,Persons Arrested out of Cases Registered from Previous Years,4,Female
Vijayawada,Persons Arrested out of Cases Registered from Previous Years,7,Female
Vishakhapatnam,Persons Arrested out of Cases Registered from Previous Years,3,Female
Agra,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Ahmedabad,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Amritsar,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Asansol,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Aurangabad,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Bengaluru,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Bhopal,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Chandigarh City,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Chennai,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Coimbatore,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Delhi City,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Dhanbad,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Durg-Bhilainagar,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Faridabad,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Ghaziabad,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Gwalior,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Hyderabad,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Indore,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Jabalpur,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Jaipur,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Jamshedpur,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Jodhpur,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Kannur,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Kanpur,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Kochi,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Kolkata,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Kollam,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Kota,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Kozhikode,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Lucknow,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Ludhiana,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Madurai,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Malappuram,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Meerut,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
