"MP.name","Nature.of.membership","Start.of.term","End.of.term","State","Constituency","Political.party","Gender","Educational.qualifications","Educational.qualifications...details","Age","Debates","Private.Member.Bills","Questions","Attendance","Notes","National.Debates.average","National.Private.Member.Bills.average","National.Questions.average","National.Attendance.average","State.s.Debates.average","State.s.Private.Member.Bills..average","State.s.Questions.average","State.s.Attendance.average","Serious_CrimCase","Immoveable","Moveable"
"Laxman Tudu","Elected","18-May-09","In office","Orissa","Mayurbhanj","Biju Janata Dal","Male","Graduate","Educated at M.P.C. College, Baripada (Utkal University), Ravenshaw College, Cuttak, Chandua Govt. High School, Mayurbhanj and Sainik School, Bhubaneswar, Orissa.","48","26","0","314","51%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","35","0.9","382","74%",0,1e+05,73000
"M. Anjan Kumar Yadav","Elected","18-May-09","In office","Andhra Pradesh","Secunderabad","Indian National Congress","Male","Graduate","B.A; Educated at Dharmavanth College, Hyderabad, Andhra Pradesh","52","0","0","643","74%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,NA,NA
"M. B. Rajesh","Elected","18-May-09","In office","Kerala","Palakkad","Communist Party of India (Marxist)","Male","Post Graduate","M.A. (Economics), LL.B.; Educated at NSS College Ottappalam, University of Calicut and Kerala Law Academy Law College Trivandrum, University of Kerala","42","134","0","513","93%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","69.4","1.5","416","79%",1,375000,205959
"M. I. Shanavas","Elected","18-May-09","In office","Kerala","Wayanad","Indian National Congress","Male","Post Graduate","M.A. (English), LL.B; Educated at Farook College, Kozhikkode and Law College, Ernakulam.","62","37","0","305","81%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","69.4","1.5","416","79%",0,23400000,524424
"M. Jagannath","Elected","18-May-09","In office","Andhra Pradesh","Nagarkurnool","Indian National Congress","Male","Post Graduate","M.B.B.S., D.L.O., M.S. (E.N.T.); Educated at Osmania Medical College, Hyderabad, Andhra Pradesh","62","34","0","278","80%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,NA,NA
"M. K. Raghavan","Elected","18-May-09","In office","Kerala","Kozhikode","Indian National Congress","Male","Graduate","B.A. History","61","40","8","458","75%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","69.4","1.5","416","79%",0,1200000,184694
"M. Krishnaswamy","Elected","18-May-09","In office","Tamil Nadu","Arani","Indian National Congress","Male","Graduate","B.A., B.L.; Educated at Law College, Madras, Tamil Nadu","73","25","0","242","90%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,NA,NA
"M. Vijaya Shanthi","Elected","18-May-09","In office","Andhra Pradesh","Medak","Telangana Rashtra Samithi","Female","Matric","S.S.C.","47","0","0","0","14%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,NA,NA
"Madan Lal Sharma","Elected","18-May-09","In office","Jammu and Kashmir","Jammu","Indian National Congress","Male","Inter/ Higher Secondary","Educated at Govt. Higher Secondary School, Pallanwalla; Jammu & Kashmir","61","21","0","79","92%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","44.4","0","96","88%",1,3900000,4482734
"Madhu Goud Yaskhi","Elected","18-May-09","In office","Andhra Pradesh","Nizamabad","Indian National Congress","Male","Post Graduate","B.A., LL.B., LL.M.; Educated at Nizam College, Osmania University; Campus Law Centre, University of Delhi and P.G. College of Law, Osmania University","53","15","0","626","77%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,47100000,59900000
"Magunta Srinivasulu Reddy","Elected","18-May-09","In office","Andhra Pradesh","Ongole","Indian National Congress","Male","Graduate","B.Com; Educated at V.R. College, Nellore, Andhra Pradesh","60","3","0","808","54%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,1,1867454
"Mahabal Mishra","Elected","18-May-09","In office","Delhi","West Delhi","Indian National Congress","Male","Inter/ Higher Secondary","Intermediate (Science); Educated at L.S. College Muzaffarpur","60","31","0","318","95%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","32","5.6","296","84%",0,43500000,17700000
"Mahabali Singh","Elected","18-May-09","In office","Bihar","Karakat","Janata Dal (United)","Male","Under Matric","High School, Bhagwanpur, Distt. Kaimur","58","19","0","168","92%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",1,2131500,5742174
"Mahendra Kumar Roy","Elected","18-May-09","In office","West Bengal","Jalpaiguri","Communist Party of India (Marxist)","Male","Graduate","B.A., B.Ed.; Educated at A.C. College, Jalpaiguri, A.C. Training college, Jalpaiguri","58","39","0","168","94%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,1350000,1528591
"Mahendrasinh Pruthvisinh Chauhan","Elected","18-May-09","In office","Gujarat","Sabarkantha","Bharatiya Janata Party","Male","Graduate","B.S.A.M., LL.B.; Educated at Akhadanand Ayurvedic Medical College, Jamnagar Ayurvedic University and Law College, Modasa, Gujarat University, Ahmedabad","60","174","18","786","97%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","41","1.4","382","76%",0,5200000,3642370
"Mahesh Joshi","Elected","18-May-09","In office","Rajasthan","Jaipur","Indian National Congress","Male","Doctorate","M.A., (P.G. Diploma in Journalism); Educated at University of Rajasthan","59","10","0","351","95%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","51.5","1","304","88%",0,7065000,4172500
"Maheshwar Hazari","Elected","18-May-09","In office","Bihar","Samastipur","Janata Dal (United)","Male","Graduate","B.A.; Educated at V.R.V. College, Samastipur, Bihar","51","36","0","478","93%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",0,4940000,2103616
"Makhansingh Solanki","Elected","18-May-09","In office","Madhya Pradesh","Khargone","Bharatiya Janata Party","Male","Under Matric","","61","13","0","125","85%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","46.6","0.4","233","82%",0,4600000,6123265
"Maneka Gandhi","Elected","18-May-09","In office","Uttar Pradesh","Aonla","Bharatiya Janata Party","Female","Inter/ Higher Secondary","I.S.C.; Educated at Lawrence School, Sanawar, Himachal Pradesh","57","6","1","336","77%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",1,NA,33200000
"Mangani Lal Mandal","Elected","18-May-09","In office","Bihar","Jhanjharpur","Janata Dal (United)","Male","Post Graduate","M.Com.; Educated at R.K. College, Madhubani (Bihar) and C.M. College, Darbhanga, Bihar University, Muzaffarpur (now Babasaheb Bhimrao Ambedkar Bihar University) ","65","45","0","278","94%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",0,4596585,1002218
"Manicka Tagore","Elected","18-May-09","In office","Tamil Nadu","Virudhunagar","Indian National Congress","Male","Graduate","B.A., L.L.B.; Educated at Bangalore University","38","39","0","470","88%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,NA,1672211
"Manohar Tirkey","Elected","18-May-09","In office","West Bengal","Alipurduars","Revolutionary Socialist Party","Male","Inter/ Higher Secondary","Educated at St. Joseph`s High School Alipurduar JN. Distt. Jalpaiguri, West Bengal","60","32","0","602","57%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,60000,2458723
"Mansukhbhai D. Vasava","Elected","18-May-09","In office","Gujarat","Bharuch","Bharatiya Janata Party","Male","Post Graduate","B.A., M.S.W.; Educated at South Gujarat University, Surat and Gujarat Vidyapith, Ahmedabad, Gujarat","56","48","0","802","78%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","41","1.4","382","76%",0,7e+06,951000
"Marotrao Sainuji Kowase","Elected","18-May-09","In office","Maharashtra","Gadchiroli-Chimur","Indian National Congress","Male","Post Graduate","M.A. (Political Science); Educated at Nagpur University, Maharashtra","64","16","0","471","85%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,1,1
"Mausam Noor","Elected","18-May-09","In office","West Bengal","Maldaha Uttar","Indian National Congress","Female","Graduate","LL.B.; Educated at Calcutta University","34","4","0","60","66%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,1740000,207358
"Meena Singh","Elected","18-May-09","In office","Bihar","Arrah","Janata Dal (United)","Female","Graduate","B.A.; Educated at Banaras Hindu University (B.H.U.) ","52","26","0","406","87%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",0,1,108206
"Meenakshi Natrajan","Elected","18-May-09","In office","Madhya Pradesh","Mandsour","Indian National Congress","Female","Post Graduate","M.Sc., (Biochemistry), LL.B.; Educated at Holkar Science College, GACC Indore, DAVV University","40","16","0","135","84%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","46.6","0.4","233","82%",0,NA,1115281
"Mirza Mehboob Beg","Elected","18-May-09","In office","Jammu and Kashmir","Anantnag","Jammu and Kashmir National Conference","Male","Graduate","M.B.B.S.; Educated at Srinagar Medical College","64","58","0","27","85%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","44.4","0","96","88%",0,3500000,1350000
"Mithlesh Kumar","Elected","18-May-09","In office","Uttar Pradesh","Shahjahanpur","Samajwadi Party","Male","Graduate","B.Sc.; Educated at Bareli College, (Uttar Pradesh) ","49","21","0","154","86%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,4017000,4518655
"Modugula Venugopala Reddy","Elected","18-May-09","In office","Andhra Pradesh","Narasaraopet","Telugu Desam Party","Male","Graduate","B.Com., LL.B.; Educated at JKC College, Guntur, Reddy College, Guntur, ILS Law College, Pune","47","29","0","485","67%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",1,NA,9907622
"Mohammed Azharuddin","Elected","18-May-09","In office","Uttar Pradesh","Moradabad","Indian National Congress","Male","Graduate","B.Com; Educated at Nizam College (Osmania University) ","51","2","0","5","75%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,1.2e+07,14200000
"Mohan Jena","Elected","18-May-09","In office","Orissa","Jajpur","Biju Janata Dal","Male","Post Graduate","M.A. (Sociology); Educated at Kendrapara College, Kendrapara and P.G.Deptt. of Sociology, Utkal University, Vani Vihar, Bhubaneswar, Orissa","56","28","2","49","75%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","35","0.9","382","74%",0,1e+06,986404
"Mohinder Singh Kaypee","Elected","18-May-09","In office","Punjab","Jalandhar","Indian National Congress","Male","Graduate","B.A., L.L.B.; Educated at Punjab University, Chandigarh","57","10","0","4","90%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","23.8","0.7","170","78%",0,NA,NA
"Monazir Hassan","Elected","18-May-09","In office","Bihar","Begusarai","Janata Dal (United)","Male","Doctorate","M.A., Ph.D.; Educated at Bhagalpur, University and Bihar Unversity","57","10","0","23","87%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",0,2555000,1687003
"Mulayam Singh Yadav","Elected","18-May-09","In office","Uttar Pradesh","Mainpuri","Samajwadi Party","Male","Post Graduate","B.A., B.T., M.A. (Political Science); Educated at K.K. College, Etawah, A.K. College, Shikohabad and B.R. College, Agra University, Agra, Uttar Pradesh","74","117","0","0","85%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,7374154,14900000
"Munde Gopinathrao Pandurang","Elected","18-May-09","In office","Maharashtra","Beed","Bharatiya Janata Party","Male","Graduate","B.Com., B.G.L.; Educated at Marathwada and Pune University","64","32","0","465","68%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",1,37500000,30900000
"Munisamy Thambidurai","Elected","18-May-09","In office","Tamil Nadu","Karur","All India Anna Dravida Munnetra Kazhagam","Male","Doctorate","M.A., M.Phil., M.Litt., Ph.D.; Educated at Madras Christian College, Madras University, Chennai, Tamil Nadu","66","102","0","370","86%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",1,NA,1895789
"Murli Manohar Joshi","Elected","18-May-09","In office","Uttar Pradesh","Varanasi","Bharatiya Janata Party","Male","Doctorate","M.Sc. (Physics), D. Phil.; Educated at Allahabad University, Allahabad, Uttar Pradesh","80","29","0","577","84%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",1,26400000,38500000
"N. Peethambara Kurup","Elected","18-May-09","In office","Kerala","Kollam","Indian National Congress","Male","Graduate","B.A., LL.B.; Educated at Kerala University, Kerala","71","35","0","189","87%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","69.4","1.5","416","79%",0,2555000,255132
"N.Dharam Singh","Elected","18-May-09","In office","Karnataka","Bidar","Indian National Congress","Male","Post Graduate","MA, LL.B.; Educated at Osmania University, Hyderabad","77","4","0","50","69%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","21.2","0.2","350","68%",1,NA,NA
"N.S.V. Chitthan","Elected","18-May-09","In office","Tamil Nadu","Dindigul","Indian National Congress","Male","Graduate","B.A. (Economics); Educated at Madurai College, Madurai Thiaganajar College, Madurai","79","61","2","486","88%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,11500000,3926856
"Nalin Kumar Kateel","Elected","18-May-09","In office","Karnataka","Dakshina Kannada","Bharatiya Janata Party","Male","Matric","Educated at St. Philomeaia Higher School, Puttar, T.W. D.K. Distt. Karnataka","47","15","0","283","69%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","21.2","0.2","350","68%",0,2750000,2701279
"Nama Nageswara Rao","Elected","18-May-09","In office","Andhra Pradesh","Khammam","Telugu Desam Party","Male","Inter/ Higher Secondary","","56","114","0","488","86%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,1,8027900
"Narahari Mahato","Elected","18-May-09","In office","West Bengal","Purulia","All India Forward Bloc","Male","Post Graduate","B.A. (Pass), M.A. (Pol. Sc., History, Bengali), B.Ed.; Educated at Burdwan University, West Bengal and Ranchi University, Jharkhand","57","53","0","650","71%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,2720000,1866000
"Naramalli Sivaprasad","Elected","18-May-09","In office","Andhra Pradesh","Chittoor","Telugu Desam Party","Male","Graduate","M.B.B.S.; Educated at S.V. Medical College, Tirupati, Chittoor (Andhra Pradesh) ","62","5","0","16","55%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,5500000,511000
"Naranbhai Kachhadia","Elected","18-May-09","In office","Gujarat","Amreli","Bharatiya Janata Party","Male","Under Matric","Educated at Charkhadiya, Govt. of Primary School","58","86","0","768","88%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","41","1.4","382","76%",0,3601000,1147282
"Narayan Singh Amlabe","Elected","18-May-09","In office","Madhya Pradesh","Rajgarh","Indian National Congress","Male","Inter/ Higher Secondary","Educated at Madhya Pradesh Board, Bhopal","62","70","0","133","90%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","46.6","0.4","233","82%",0,NA,860493
"Narendra Singh Tomar","Elected","18-May-09","In office","Madhya Pradesh","Morena","Bharatiya Janata Party","Male","Graduate","Educated at Jiwaji University, Gwalior, Madhya Pradesh","56","10","0","215","60%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","46.6","0.4","233","82%",0,2300000,3182942
"Natubhai Gomanbhai Patel","Elected","18-May-09","In office","Dadra and Nagar Haveli","Dadra and Nagar Haveli","Bharatiya Janata Party","Male","Under Matric","","41","2","0","33","44%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","2","0","33","44%",1,74500000,15300000
"Naveen Jindal","Elected","18-May-09","In office","Haryana","Kurukshetra","Indian National Congress","Male","Post Graduate","MBA, B.Com. (Hons.), Educated at University of Texas, Dallas, U.S.A.; Hansraj College, University of Delhi, Delhi","43","20","0","516","81%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","13.1","0.1","231","69%",0,57200000,1.23e+09
"Navjot Singh Sidhu","Elected","18-May-09","In office","Punjab","Amritsar","Bharatiya Janata Party","Male","Graduate","B.A., LL.B.","50","3","0","99","28%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","23.8","0.7","170","78%",1,NA,NA
"Neeraj Shekhar","Elected","18-May-09","In office","Uttar Pradesh","Ballia","Samajwadi Party","Male","Graduate","B.A. (Hons.); Educated at Modern School and Atmaram Sanatan College","45","33","0","820","93%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,12200000,16900000
"Nikhil Kumar Choudhary","Elected","18-May-09","In office","Bihar","Katihar","Bharatiya Janata Party","Male","Graduate","B.Sc.; Eductaed at T.N.B. College, Bhagalpur, Bihar","68","33","0","183","88%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",1,6400000,1610530
"Nilesh Narayan Rane","Elected","18-May-09","In office","Maharashtra","Ratnagiri-Sindhudurg","Indian National Congress","Male","Doctorate","Ph.d; Educated at Mumbai University, Maharashtra","32","19","0","606","70%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",1,NA,NA
"Nirmal Khatri","Elected","18-May-09","In office","Uttar Pradesh","Faizabad","Indian National Congress","Male","Doctorate","M.A. (Pol Sc.), LL.B., Ph.D.; Educated at K. S. Saket Post-Graduate College, Ayodhya, Faizabad; (Uttar Pradesh) ","63","37","0","24","94%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,5500000,852200
"Nishikant Dubey","Elected","18-May-09","In office","Jharkhand","Godda","Bharatiya Janata Party","Male","Post Graduate","B.A. (H), M.B.A.; Educated at Marwari College Bhagalpur (Bihar) and F.M.S. Delhi University (Delhi) ","45","93","5","817","95%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","38.8","0.8","251","66%",0,86100000,20100000
"Nityananda Pradhan","Elected","18-May-09","In office","Orissa","Aska","Biju Janata Dal","Male","Post Graduate","M.A., LL.B. Educated at Khallikote College, Berhampur, Ganjam, Orissa and Berhampur Law College, Berhampur","69","7","0","682","67%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","35","0.9","382","74%",0,4590000,3256470
"Nripendra Nath Roy","Elected","18-May-09","In office","West Bengal","Cooch Behar","All India Forward Bloc","Male","Graduate","B.A.; Educated at Dinhata College, Distt-Coochbehar, West Bengal","54","53","0","636","75%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",1,9e+05,289049
"O. S. Manian","Elected","18-May-09","In office","Tamil Nadu","Mayiladuthurai","All India Anna Dravida Munnetra Kazhagam","Male","Inter/ Higher Secondary","P.U.C.; Educated at Kathir Mohaitheen College, Athirampattinam","59","52","0","60","70%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",1,NA,NA
"Om Prakash Yadav","Elected","18-May-09","In office","Bihar","Siwan","Independent","Male","Graduate","B.Sc.; Educated at D.A.V. College, Siwan, Bihar","51","29","9","319","73%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",0,NA,781500
"P. C. Mohan","Elected","18-May-09","In office","Karnataka","Bangalore Central","Bharatiya Janata Party","Male","Inter/ Higher Secondary","Educated at Vijiya College","50","5","0","252","70%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","21.2","0.2","350","68%",0,18400000,36300000
"P. Jaya Prada Nahata","Elected","18-May-09","In office","Uttar Pradesh","Rampur","Independent","Female","Graduate","B.A.; Educated at Rajalakshmi Women`s College, Rajahmundry, East Godavari District (Andhra Pradesh) ","51","27","0","395","39%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,1.13e+08,15900000
"P. K. Biju","Elected","18-May-09","In office","Kerala","Alathur","Communist Party of India (Marxist)","Male","Post Graduate","M.Sc. (Polymer Chemistry); Educated at School of Chemical Sciences, Mahatama Gandhi University, Kottayam, Kerala","39","106","0","452","86%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","69.4","1.5","416","79%",0,4e+05,211000
"P. Karunakaran","Elected","18-May-09","In office","Kerala","Kasaragod","Communist Party of India (Marxist)","Male","Post Graduate","M.A.; Educated at M.A. College, Kothamangalam","68","99","0","595","76%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","69.4","1.5","416","79%",0,17700000,163245
"P. Kumar","Elected","18-May-09","In office","Tamil Nadu","Tiruchirappalli","All India Anna Dravida Munnetra Kazhagam","Male","Graduate","B.Sc., B.L., Educated at Govt. Law College, Tiruchirappalli","42","55","0","596","87%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,NA,545000
"P. Lingam","Elected","18-May-09","In office","Tamil Nadu","Tenkasi","Communist Party of India","Male","Graduate","B.A. (History); Educated at Madurai Kamarajar University, Madurai, Tamil Nadu","48","87","0","334","96%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,90000,184365
"P. T. Thomas","Elected","18-May-09","In office","Kerala","Idukki","Indian National Congress","Male","Post Graduate","M.A. (History), LL.B.; Educated at (i) St. Georges High School Parathode, Idukki; (ii) Mar Ivanios College Thiruvananthapuram; (iii) Newman College, Thodupuzha, Idukki; (iv) Maharajas College Ernakulam; (V) Government Law College, Kozhikode; and (vi) Gove","63","128","9","502","96%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","69.4","1.5","416","79%",0,3300000,704094
"P. Venugopal","Elected","18-May-09","In office","Tamil Nadu","Tiruvallur","All India Anna Dravida Munnetra Kazhagam","Male","Graduate","M.B.B.S.; Educated at Stanley Medical College, Chennai, Tamil Nadu","61","31","0","474","89%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,1375000,1145896
"P. Viswanathan","Elected","18-May-09","In office","Tamil Nadu","Kancheepuram","Indian National Congress","Male","Graduate","B.A. (Economics); Educated at Periyar Arts College, Cuddalore, Madras University, Tamil Nadu","49","38","0","658","87%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,4015800,1610921
"P.C. Chacko","Elected","18-May-09","In office","Kerala","Thrissur","Indian National Congress","Male","Post Graduate","B.Sc. (Geology), M.A. (Public Admn.); Educated at Mar Ivanios College and University College, Trivandrum, Madural Kamaraj University","67","24","0","28","90%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","69.4","1.5","416","79%",0,NA,4349192
"P.C. Gaddigoudar","Elected","18-May-09","In office","Karnataka","Bagalkot","Bharatiya Janata Party","Male","Graduate","B.A., LLB; Educated at Basaveshwar Arts College, Bagalkot and Raja Lokhamagouda College, Belgaum","62","8","0","413","75%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","21.2","0.2","350","68%",0,15300000,1450000
"P.L. Punia","Elected","18-May-09","In office","Uttar Pradesh","Barabanki","Indian National Congress","Male","Doctorate","M.A., Ph.D.; Educated at Punjab University, Chandigarh and Lucknow University, Lucknow, Uttar Pradesh","69","289","11","656","99%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,7500000,2.7e+08
"P.R. Natarajan","Elected","18-May-09","In office","Tamil Nadu","Coimbatore","Communist Party of India (Marxist)","Male","Under Graduate","B.A (Incomplete); Educated at Madras University","63","34","0","432","89%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,NA,NA
"Pakauri Lal","Elected","18-May-09","In office","Uttar Pradesh","Robertsganj","Samajwadi Party","Male","Under Matric","","61","19","0","61","85%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,950000,612515
"Paramjit Kaur Gulshan","Elected","18-May-09","In office","Punjab","Faridkot","Shiromani Akali Dal","Female","Post Graduate","M.A. (Economics), M.A. (Sociology), B. Ed.; Educated at Punjab University, Chandigarh and Guru Nanak Dev University, Amritsar (Punjab) ","65","29","0","129","80%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","23.8","0.7","170","78%",0,NA,NA
"Partap Singh Bajwa","Elected","18-May-09","In office","Punjab","Gurdaspur","Indian National Congress","Male","Graduate","B.A.; Educated at DAV College, Chandigarh, Punjab","57","37","1","359","82%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","23.8","0.7","170","78%",0,NA,NA
"Pashupati Nath Singh","Elected","18-May-09","In office","Jharkhand","Dhanbad","Bharatiya Janata Party","Male","Graduate","B.Sc.","64","24","0","301","91%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","38.8","0.8","251","66%",0,2604671,1573645
