"MP.name","Nature.of.membership","Start.of.term","End.of.term","State","Constituency","Political.party","Gender","Educational.qualifications","Educational.qualifications...details","Age","Debates","Private.Member.Bills","Questions","Attendance","Notes","National.Debates.average","National.Private.Member.Bills.average","National.Questions.average","National.Attendance.average","State.s.Debates.average","State.s.Private.Member.Bills..average","State.s.Questions.average","State.s.Attendance.average","Serious_CrimCase","Immoveable","Moveable"
"J.M. Aaron Rashid","Elected","18-May-09","In office","Tamil Nadu","Theni","Indian National Congress","Male","Inter/ Higher Secondary","Educated at Sir Thiyagaraja College, Washermanpet, Chennai , Tamil Nadu","63","61","0","376","68%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,NA,NA
"Jadhav Baliram Sukur","Elected","18-May-09","In office","Maharashtra","Palghar","Bahujan Vikas Aaghadi","Male","Under Matric","","57","16","0","316","94%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,830000,1569057
"Jadhav Prataprao Ganpatrao","Elected","18-May-09","In office","Maharashtra","Buldhana","Shiv Sena","Male","Under Graduate","B.A. - II; Educated at Shri Shivaji College, Chikhil, Buldana","53","19","0","511","64%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,7850000,5352820
"Jagada Nand Singh","Elected","18-May-09","In office","Bihar","Buxar","Rashtriya Janata Dal","Male","Graduate","B.Sc., LL.B.; Educated at Banaras Hindu University and Harish Chandra P.G. College, Varanasi","71","83","0","464","95%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",0,1199000,5500
"Jagdambika Pal","Elected","18-May-09","In office","Uttar Pradesh","Domariyaganj","Indian National Congress","Male","Post Graduate","M.A. (Pol. Science, Modern History & Ancient History) & LL.B.; Educated at Awadh University, L.L.B., Gorakhpur University","63","191","4","223","92%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,NA,9381787
"Jagdish Singh Rana","Elected","18-May-09","In office","Uttar Pradesh","Saharanpur","Bahujan Samaj Party","Male","Graduate","B.A.; Educated at J.V. Jain College, Saharanpur, Uttar Pradesh","59","15","0","236","87%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,24500000,2360977
"Jagdish Thakor","Elected","18-May-09","In office","Gujarat","Patan","Indian National Congress","Male","Matric","Educated at N.S. Vidyalaya, Naroda, Gujarat","56","17","0","306","59%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","41","1.4","382","76%",0,2025000,2334298
"Jai Prakash Agarwal","Elected","18-May-09","In office","Delhi","North East Delhi","Indian National Congress","Male","Graduate","B.A.; Educated at Hansraj College, Delhi","69","85","23","898","98%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","32","5.6","296","84%",0,23500000,6747875
"Jainarain Prasad Nishad","Elected","18-May-09","In office","Bihar","Muzaffarpur","Janata Dal (United)","Male","Inter/ Higher Secondary","Educated at Madhya Pradesh Education Board, Bhopal (Madhya Pradesh) ","83","8","0","115","80%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",0,14900000,269831
"Janardhana Swamy","Elected","18-May-09","In office","Karnataka","Chitradurga","Bharatiya Janata Party","Male","Post Graduate","M.E. (Electrical Communication Engineering); Educated at Indian Institute of Science (IISc), Bangalore, Karnataka","45","5","0","5","59%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","21.2","0.2","350","68%",0,1.6e+07,6836000
"Jaswant Singh","Elected","18-May-09","In office","West Bengal","Darjeeling","Bharatiya Janata Party","Male","Graduate","B.A., B.Sc.; Educated at Mayo College, Ajmer, Joint Services Wing, Clement Town, Dehradun. N.D.A. Khadakvasla and Indian Military Academy, Dehradun","76","18","0","0","78%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,1.12e+08,6954601
"Jayant Chaudhary","Elected","18-May-09","In office","Uttar Pradesh","Mathura","Rashtriya Lok Dal","Male","Post Graduate","M.Sc., Accounts and Finance; Educated at Landon School of Economics and Political Science","35","45","2","180","83%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",1,11900000,22800000
"Jayaram Pangi","Elected","18-May-09","In office","Orissa","Koraput","Biju Janata Dal","Male","Inter/ Higher Secondary","Educated at Govt. TRW High School, Sunabeda - 1, Orissa; Hal, Sunabeda","58","4","0","227","65%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","35","0.9","382","74%",0,4962800,1219872
"Jayshreeben Kanubhai Patel","Elected","18-May-09","In office","Gujarat","Mehesana","Bharatiya Janata Party","Female","Matric","","54","132","1","515","84%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","41","1.4","382","76%",0,2750000,626155
"Jeetendra Singh Bundela","Elected","18-May-09","In office","Madhya Pradesh","Khajuraho","Bharatiya Janata Party","Male","Post Graduate","M.A., LL.B; Maharaja Mahavidyalya Chhattarpur, Madhya Pradesh and Motilal Vidhi Mahavidyalaya Chattarpur, Madhya Pradesh","55","58","0","392","89%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","46.6","0.4","233","82%",0,8631000,2568532
"Jhansi Botcha Lakshmi","Elected","18-May-09","In office","Andhra Pradesh","Vizianagaram","Indian National Congress","Female","Doctorate","M.A. (Philosophy), Ph.D.","49","146","2","377","88%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,18400000,5698364
"Jitender Singh Malik","Elected","18-May-09","In office","Haryana","Sonipat","Indian National Congress","Male","Graduate","B.A., LL.B.","44","12","0","64","74%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","13.1","0.1","231","69%",0,1,2276080
"Jose K. Mani","Elected","18-May-09","In office","Kerala","Kottayam","Kerala Congress (M)","Male","Post Graduate","B.Com., M.B.A. (Marketing); Educated at Loyola College, Chennai and P.S.G. College of Technology, Coimbatore","48","65","0","574","84%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","69.4","1.5","416","79%",0,6993850,2657879
"Joseph Toppo","Elected","18-May-09","In office","Assam","Tezpur","Asom Gana Parishad","Male","Inter/ Higher Secondary","H.S.L.C., Diploma in Automobile Engineering; Educated at Don Bosco Technical School Maligaon, Guwahati","59","21","0","147","76%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","22.1","0.5","83","80%",0,630000,306292
"Jyoti Dhurve","Elected","18-May-09","In office","Madhya Pradesh","Betul","Bharatiya Janata Party","Female","Post Graduate","M.A. (Political Science), Educated at Durga Mahavidhyala Raipur, Chattisgarh","47","74","0","373","83%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","46.6","0.4","233","82%",0,4115000,3020000
"Jyoti Mirdha","Elected","18-May-09","In office","Rajasthan","Nagaur","Indian National Congress","Female","Graduate","M.B.B.S.; Educated at SMS Medical College, Jaipur (Rajasthan) ","41","26","0","58","93%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","51.5","1","304","88%",0,32100000,6968305
"K. Murugesan Anandan","Elected","18-May-09","In office","Tamil Nadu","Viluppuram","All India Anna Dravida Munnetra Kazhagam","Male","Under Graduate","P.U.C.; Attended B.Sc course for three years; Educated at Govt. Arts College, Cuddalore, Tamil Nadu in the year 1971-74","62","22","1","226","91%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,4405000,698275
