mp_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,ag_debates,ag_private_member_bills,ag_questions,avg_attendance,mp_note,ag_national_average_debate,ag_national_average_pmb,ag_national_average_questions,avg_attendance_national_average,ag_state_average_debate,ag_state_average_pmb,ag_state_average_questions,avg_attendance_state_average,mp_house
900565,Thomas Sangma,Elected,13-04-2008,04-02-2013,First Term,N/A,Meghalaya,Nationalist Congress Party,Male,Diploma Course,"Under Graduate, Diploma in Computer Applications Educated at Tura Government College (N.E.H.U.), Tura and C.A. I. (Kolkata), Tura",62,8,4,58,0.850533808, Data corresponds to the period from 01-06-2009 to 10-02-2024.,30.20413538,0.925498054,228.5839912,0.787043243,8,4,58,0.805163768,Rajya Sabha
900272,Mahesh Poddar,Elected,08-07-2016,07-07-2022,First Term,N/A,Jharkhand,Bharatiya Janata Party,Male,Professional Graduate,Bachelor of Engineering (Mechanical) from Bangalore University,74,116,4,622,0.923076923, Data corresponds to the period from 01-06-2009 to 10-02-2024.,101.5030364,1.196297868,289.4391529,0.787043243,44.4,0.8,383.8,0.784158314,Rajya Sabha
900599,Vivek Gupta,Elected,03-04-2012,02-04-2018,First Term,N/A,West Bengal,All India Trinamool Congress,Male,Graduate,"B.Com (Hons.), Degree in System Design and Analyst and Degree in Print Production Educated at Calcutta University, Kolkata, NIIT, Kolkata and V.D.M.A. (Germany)",48,144,27,668,0.821428571, Data corresponds to the period from 01-06-2009 to 10-02-2024.,76.5291343,1.331050954,332.9466233,0.787043243,109.4,2.3,245.1583333,0.69145404,Rajya Sabha
900438,Ramkumar Verma,Elected,05-07-2016,04-07-2022,First Term,N/A,Rajasthan,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Economics) Educated at Government Senior Secondary School (Rajasthan Board), Government College, Rajgarh, Alwar, University of Rajasthan, Jaipur and R.R. Government College, Alwar, University of Rajasthan, Jaipur",68,95,1,234,0.982905983, Data corresponds to the period from 01-06-2009 to 10-02-2024.,101.5030364,1.196297868,289.4391529,0.787043243,61.23333333,2.372222222,296.1444444,0.822358304,Rajya Sabha
900722,Dharmshila Gupta,Elected,03-04-2024,In Office,First Term,N/A,Bihar,Bharatiya Janata Party,Female,Information not available,Information not available,Info Not Available,N/A,N/A,N/A,N/A, Data corresponds to the period from 01-06-2009 to 10-02-2024.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rajya Sabha
900107,Brinda Karat,Elected,19-08-2005,18-08-2011,First Term,N/A,West Bengal,Communist Party of India (Marxist),Female,Graduate,"Senior Cambridge, B.A. Educated at Welham Girls High School, Dehradun, Loreto House, Kolkata and Miranda House, Delhi University, Delhi",76,69,3,173,0.858823529, Data corresponds to the period from 01-06-2009 to 10-02-2024.,18.32375211,0.596309963,139.8847604,0.787043243,29.62556391,0.40952381,103.9869674,0.69145404,Rajya Sabha
900178,Jai Prakash Narayan Singh,Elected,10-04-2008,09-04-2014,First Term,N/A,Jharkhand,Bharatiya Janata Party,Male,Graduate,B.Sc. (Hons.) Educated at Bihar University,75,50,1,511,0.856741573, Data corresponds to the period from 01-06-2009 to 10-02-2024.,39.07140246,0.968051246,284.2491237,0.787043243,34.03333333,0.666666667,418.6333333,0.784158314,Rajya Sabha
900089,Bhalchandra Mungekar,Nominated,22-03-2010,21-03-2016,First Term,N/A,N/A,Indian National Congress,Male,Doctorate,"B.A.(Hons.) in Economics, M.A.(Economics) Ph.D. ; Educated at University of Mumbai",78,82,2,300,0.88, Data corresponds to the period from 01-06-2009 to 10-02-2024.,60.01791652,1.283100005,325.2657498,0.787043243,N/A,N/A,N/A,N/A,Rajya Sabha
900093,Bhupender Yadav,Elected,04-04-2018,03-04-2024,Second Term,N/A,Rajasthan,Bharatiya Janata Party,Male,Professional Graduate,"B.A. (Hons.), LL. B. Educated at Government College, Ajmer and Maharishi Dayanand University, Ajmer",54,123,3,270,0.857638889,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2009 to 10-02-2024.",128.1190088,1.851247082,457.0057527,0.787043243,89.96388889,2.583333333,417.1944444,0.822358304,Rajya Sabha
900397,R.C. Singh,Elected,25-06-2008,02-04-2012,First Term,N/A,West Bengal,Communist Party of India,Male,Inter/ Higher Secondary,"Higher Secondary, Certificate in Mining Educated at D.A.V. School, Mau, Janta Degree College, Ranipur, Mau, Uttar Pradesh and Indian School of Mines, Dhanbad",80,92,3,601,0.959276018, Data corresponds to the period from 01-06-2009 to 10-02-2024.,23.58244777,0.61776919,178.9718321,0.787043243,37.09223058,0.40952381,125.6536341,0.69145404,Rajya Sabha
