Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
100,Vishal (Dada) Prakashbapu Patil,SANGLI,IND,9,Graduate,"Rs 29,90,65,726","Rs 8,26,79,549"
101,Kamlesh Paswan,BANSGAON (SC),BJP,9,Graduate,"Rs 36,18,30,259","Rs 3,52,83,210"
102,Pratik Ur Rahaman,DIAMOND HARBOUR,CPI(M),9,Graduate Professional,"Rs 8,75,059",Rs 0
103,Swami Prasad Maurya,KUSHI NAGAR,Rashtriya Shoshit Samaj Party,9,Post Graduate,"Rs 8,72,67,479",Rs 0
104,Pratap Chandra Sarangi,BALASORE,BJP,9,Graduate,"Rs 49,59,072",Rs 0
105,Lekhasri Samantsinghar,BALASORE,BJD,9,Doctorate,"Rs 3,09,01,519","Rs 70,09,154"
106,Subhash Barman,MALDAHA UTTAR,Kamatapur People’s Party (United),9,5th Pass,"Rs 95,33,100",Rs 0
107,Chowdhary Basheer,FIROZABAD,BSP,9,Literate,"Rs 1,30,64,740","Rs 17,98,870"
108,Dr Pradeep Kumar Panigrahy,BERHAMPUR,BJP,9,Doctorate,"Rs 3,78,08,128","Rs 3,82,00,000"
109,Naveen Jindal,KURUKSHETRA,BJP,9,Post Graduate,"Rs 12,41,47,68,000","Rs 7,37,06,000"
110,Mahesh Parmar,UJJAIN (SC),INC,8,Post Graduate,"Rs 2,77,22,030","Rs 74,79,423"
111,Ambica G Lakshminarayana Valmiki,ANANTHAPUR,TDP,8,Graduate,"Rs 4,75,40,056","Rs 21,19,559"
112,Y.S. Sharmila Reddy,KADAPA,INC,8,Post Graduate,"Rs 1,81,81,88,237","Rs 1,18,58,90,981"
113,Danam Nagender,SECUNDERABAD,INC,8,Post Graduate,"Rs 59,61,87,718","Rs 64,59,30,000"
114,Dhangekar Ravindra Hemraj,PUNE,INC,8,8th Pass,"Rs 8,16,01,478","Rs 71,15,435"
115,Harshwardhan Dada Raibhanji Jadhav,AURANGABAD,IND,8,Graduate,"Rs 2,75,95,329","Rs 11,83,691"
116,Krishna Nand Tripathi,CHATRA,INC,8,Graduate Professional,"Rs 70,92,18,255","Rs 3,50,000"
117,Pradeep Purohit,BARGARH,BJP,8,10th Pass,"Rs 2,25,95,410","Rs 6,76,737"
118,Rudra Narayan Pany,DHENKANAL,BJP,8,Graduate,"Rs 56,76,627",Rs 0
119,Rambhual Nishad,SULTANPUR,SP,8,Graduate,"Rs 3,74,05,832","Rs 3,63,092"
120,Jeewan Kumar,SIWAN,IND,8,12th Pass,"Rs 7,80,86,445",Rs 0
