state,district,network_type,nature,date,status,event_type
West Bengal,"Birbhum, Murshidabad, Malda",Mobile,Preventive,2025-04-13,Ended,internet_shutdown
West Bengal,"Murshidabad, Birbhum, Malda",Mobile,Preventive,2025-04-11,Ended,internet_shutdown
West Bengal,"Murshidabad, Hooghly",Mobile,Reactive,2025-04-08,Ended,internet_shutdown
Jammu And Kashmir,Doda,Mobile,Preventive,2025-04-06,Ended,internet_shutdown
Jammu And Kashmir,Doda,Mobile,Preventive,2025-04-05,Ended,internet_shutdown
Punjab,"Sangrur, Patiala",Mobile,Reactive,2025-03-19,Ended,internet_shutdown
West Bengal,Birbhum,Mobile,Preventive,2025-03-14,Ended,internet_shutdown
Jammu And Kashmir,Kathua,Both,Preventive,2025-02-05,Ended,internet_shutdown
Jammu And Kashmir,Ganderbal,Mobile,Preventive,2025-01-13,Ended,internet_shutdown
Maharashtra,Pune,Mobile,Preventive,2025-01-02,Ended,internet_shutdown
Haryana,Ambala,Mobile,Preventive,2024-12-14,Ended,internet_shutdown
Haryana,Ambala,Mobile,Preventive,2024-12-06,Ended,internet_shutdown
Manipur,"Imphal East, Imphal West, Bishnupur, Thoubal, Kakching, Kangpokpi, Churachandpur, Pherzawl, Jiribam",Mobile,Preventive,2024-12-05,Ended,internet_shutdown
Manipur,"Imphal East, Imphal West, Kangpokpi, Kakching, Bishnupur, Thoubal, Churachandpur, Pherzawl, Jiribam",Mobile,Preventive,2024-12-03,Ended,internet_shutdown
Manipur,"Imphal East, Imphal West, Kakching, Bishnupur, Thoubal, Churachandpur, Kangpokpi, Pherzawl, Jiribam",Mobile,Preventive,2024-11-24,Ended,internet_shutdown
Uttar Pradesh,Sambhal,Mobile,Reactive,2024-11-24,Ended,internet_shutdown
Manipur,"Imphal East, Imphal West, Thoubal, Bishnupur, Kakching, Kangpokpi, Churachandpur",Both,Preventive,2024-11-20,Ended,internet_shutdown
Manipur,"Imphal West, Imphal East, Thoubal, Bishnupur, Kakching, Kangpokpi, Churachandpur",Mobile,Preventive,2024-11-18,Ended,internet_shutdown
West Bengal,Murshidabad,Mobile,Reactive,2024-11-16,Ended,internet_shutdown
West Bengal,Murshidabad,Mobile,Reactive,2024-11-16,Ended,internet_shutdown
Manipur,"Imphal East, Imphal West, Bishnupur, Thoubal, Kakching, Kangpokpi, Churachandpur",Mobile,Reactive,2024-11-16,Ended,internet_shutdown
Rajasthan,Tonk,Mobile,Reactive,2024-11-14,Ended,internet_shutdown
Telangana,Vikarabad,Mobile,Preventive,2024-11-12,Ended,internet_shutdown
Assam,"Tinsukia, Dhemaji, Dibrugarh, Lakhimpur, Sivasagar, Jorhat, Sonitpur, Golaghat, Udalguri, Chirang, Baksa, Nagaon, Kokrajhar, Darrang, Barpeta, Nalbari, Morigaon, Kamrup, Dhubri, Kamrup Metropolitan, Goalpara, Hasao, Cachar, Karimganj, Hailakandi, Charaideo, Majuli, Biswanath, Hojai, Mankachar, Anglong, Bongaigaon",Mobile,Preventive,2024-10-27,Ended,internet_shutdown
Tripura,North Tripura,Mobile,Reactive,2024-10-15,Ended,internet_shutdown
Uttar Pradesh,Bahraich,Mobile,Reactive,2024-10-14,Ended,internet_shutdown
Tripura,North Tripura,Mobile,Reactive,2024-10-06,Ended,internet_shutdown
Odisha,Bhadrak,Mobile,Reactive,2024-09-30,Ended,internet_shutdown
