state,district,event_type,sec144_order_count,network_type,nature,date,status
Odisha,Bhadrak,internet_shutdown,,,Reactive,2025-06-11,Ended
Assam,Dhubri,internet_shutdown,,Both,Reactive,2025-06-10,Ended
Manipur,"Imphal East, Imphal West, Thoubal, Bishnupur, Kakching",internet_shutdown,,Both,Preventive,2025-06-08,Ended
Jammu And Kashmir,Doda,internet_shutdown,,Mobile,Preventive,2025-05-22,Ended
Jammu And Kashmir,Budgam,internet_shutdown,,Mobile,Preventive,2025-05-17,Ended
Punjab,Faridkot,internet_shutdown,,Mobile,Reactive,2025-05-08,Ended
Jammu And Kashmir,Doda,internet_shutdown,,Both,Preventive,2025-04-26,Ended
Jammu And Kashmir,Kishtwar,internet_shutdown,,Both,Reactive,2025-04-23,Ended
Jammu And Kashmir,Kishtwar,internet_shutdown,,Both,Preventive,2025-04-16,Ended
Jammu And Kashmir,Kishtwar,internet_shutdown,,Both,Preventive,2025-04-14,Ended
Jammu And Kashmir,Kishtwar,internet_shutdown,,Both,Preventive,2025-04-13,Ended
West Bengal,"Birbhum, Murshidabad, Malda",internet_shutdown,,Mobile,Preventive,2025-04-13,Ended
West Bengal,"Murshidabad, Birbhum, Malda",internet_shutdown,,Mobile,Preventive,2025-04-11,Ended
West Bengal,"Murshidabad, Hooghly",internet_shutdown,,Mobile,Reactive,2025-04-08,Ended
Jammu And Kashmir,Doda,internet_shutdown,,Mobile,Preventive,2025-04-06,Ended
Jammu And Kashmir,Doda,internet_shutdown,,Mobile,Preventive,2025-04-05,Ended
Punjab,"Sangrur, Patiala",internet_shutdown,,Mobile,Reactive,2025-03-19,Ended
West Bengal,Birbhum,internet_shutdown,,Mobile,Preventive,2025-03-14,Ended
Jammu And Kashmir,Kathua,internet_shutdown,,Both,Preventive,2025-02-05,Ended
Jammu And Kashmir,Ganderbal,internet_shutdown,,Mobile,Preventive,2025-01-13,Ended
Maharashtra,Pune,internet_shutdown,,Mobile,Preventive,2025-01-02,Ended
Haryana,Ambala,internet_shutdown,,Mobile,Preventive,2024-12-14,Ended
Haryana,Ambala,internet_shutdown,,Mobile,Preventive,2024-12-06,Ended
Manipur,"Imphal East, Imphal West, Bishnupur, Thoubal, Kakching, Kangpokpi, Churachandpur, Pherzawl, Jiribam",internet_shutdown,,Mobile,Preventive,2024-12-05,Ended
Manipur,"Imphal East, Imphal West, Kangpokpi, Kakching, Bishnupur, Thoubal, Churachandpur, Pherzawl, Jiribam",internet_shutdown,,Mobile,Preventive,2024-12-03,Ended
Manipur,"Imphal East, Imphal West, Kakching, Bishnupur, Thoubal, Churachandpur, Kangpokpi, Pherzawl, Jiribam",internet_shutdown,,Mobile,Preventive,2024-11-24,Ended
Uttar Pradesh,Sambhal,internet_shutdown,,Mobile,Reactive,2024-11-24,Ended
Manipur,"Imphal East, Imphal West, Thoubal, Bishnupur, Kakching, Kangpokpi, Churachandpur",internet_shutdown,,Both,Preventive,2024-11-20,Ended
Manipur,"Imphal West, Imphal East, Thoubal, Bishnupur, Kakching, Kangpokpi, Churachandpur",internet_shutdown,,Mobile,Preventive,2024-11-18,Ended
West Bengal,Murshidabad,internet_shutdown,,Mobile,Reactive,2024-11-16,Ended
West Bengal,Murshidabad,internet_shutdown,,Mobile,Reactive,2024-11-16,Ended
Manipur,"Imphal East, Imphal West, Bishnupur, Thoubal, Kakching, Kangpokpi, Churachandpur",internet_shutdown,,Mobile,Reactive,2024-11-16,Ended
Rajasthan,Tonk,internet_shutdown,,Mobile,Reactive,2024-11-14,Ended
Telangana,Vikarabad,internet_shutdown,,Mobile,Preventive,2024-11-12,Ended
Assam,"Tinsukia, Dhemaji, Dibrugarh, Lakhimpur, Sivasagar, Jorhat, Sonitpur, Golaghat, Udalguri, Chirang, Baksa, Nagaon, Kokrajhar, Darrang, Barpeta, Nalbari, Morigaon, Kamrup, Dhubri, Kamrup Metropolitan, Goalpara, Hasao, Cachar, Karimganj, Hailakandi, Charaideo, Majuli, Biswanath, Hojai, Mankachar, Anglong, Bongaigaon",internet_shutdown,,Mobile,Preventive,2024-10-27,Ended
Tripura,North Tripura,internet_shutdown,,Mobile,Reactive,2024-10-15,Ended
Uttar Pradesh,Bahraich,internet_shutdown,,Mobile,Reactive,2024-10-14,Ended
Tripura,North Tripura,internet_shutdown,,Mobile,Reactive,2024-10-06,Ended
Odisha,Bhadrak,internet_shutdown,,Mobile,Reactive,2024-09-30,Ended
